SEQ_NAME	START	END	STRAND	FEATURE_NAME	TXN_START	TXN_END	EXON_COUNT	EXON_STARTS	EXON_ENDS
chr0C	176423	176482	+	CAGL0C01639g	176423	176482	1	176423	176482
chr0M	230655	230714	+	CAGL0M01892g, CAGL0M01914g	230655	230714	1	230655	230714
chr0J	1109111	1109170	+	CAGL0J11440g	1109111	1109170	1	1109111	1109170
chr0M	1399811	1399870	+	CAGL0M14113g	1399811	1399870	1	1399811	1399870
chr0M	341615	341674	+	CAGL0M03003g, CAGL0M03025g	341615	341674	1	341615	341674
chr0L	883153	883212	+	CAGL0L08074g	883153	883212	1	883153	883212
chr0C	262813	262872	+	CAGL0C02563g	262813	262872	1	262813	262872
chr0K	314070	314129	+	CAGL0K03421g	314070	314129	1	314070	314129
chr0M	1190072	1190131	+	CAGL0M11990g, CAGL0M12012g	1190072	1190131	1	1190072	1190131
chr0G	815510	815569	+	CAGL0G08646g	815510	815569	1	815510	815569
chr0H	434907	434966	+	CAGL0H04609g	434907	434966	1	434907	434966
chr0K	446313	446372	+	CAGL0K04653g	446313	446372	1	446313	446372
chr0K	1073556	1073615	+	CAGL0K11000g	1073556	1073615	1	1073556	1073615
chr0J	49264	49323	+	CAGL0J00561g	49264	49323	1	49264	49323
chr0H	49468	49527	+	CAGL0H00484g, CAGL0H00506g	49468	49527	1	49468	49527
chr0L	127105	127164	+	CAGL0L01089g	127105	127164	1	127105	127164
chr0J	951043	951102	+	CAGL0J09680g, CAGL0J09702g	951043	951102	1	951043	951102
chr0L	681457	681516	+	CAGL0L06072g, CAGL0L06094g	681457	681516	1	681457	681516
chr0I	309375	309434	+	CAGL0I03630g	309375	309434	1	309375	309434
chr0K	974594	974653	+	CAGL0K09966g	974594	974653	1	974594	974653
chr0M	206785	206844	+	CAGL0M01760g	206785	206844	1	206785	206844
chr0I	445969	446028	+	CAGL0I04862g, CAGL0I04884g	445969	446028	1	445969	446028
chr0M	1236509	1236568	+	CAGL0M12386g, CAGL0M12408g	1236509	1236568	1	1236509	1236568
chr0L	1226979	1227038	+	CAGL0L11506g	1226979	1227038	1	1226979	1227038
chr0I	952641	952700	+	CAGL0I09988g, CAGL0I10010g	952641	952700	1	952641	952700
chr0K	764161	764220	+	CAGL0K07678g, CAGL0K07700g	764161	764220	1	764161	764220
chr0E	240630	240689	+	CAGL0E02475g	240630	240689	1	240630	240689
chr0H	512737	512796	+	CAGL0H05335g	512737	512796	1	512737	512796
chr0J	479409	479468	+	CAGL0J05060g	479409	479468	1	479409	479468
chr0H	354887	354946	+	CAGL0H03773g	354887	354946	1	354887	354946
chr0H	69789	69848	+	CAGL0H00715g	69789	69848	1	69789	69848
chr0L	625679	625738	+	CAGL0L05676g	625679	625738	1	625679	625738
chr0M	688187	688246	+	CAGL0M06721g	688187	688246	1	688187	688246
chr0M	268035	268094	+	CAGL0M02233g	268035	268094	1	268035	268094
chr0F	823015	823074	+	CAGL0F08261g	823015	823074	1	823015	823074
chr0M	533029	533088	+	CAGL0M04873g	533029	533088	1	533029	533088
chr0A	218378	218437	+	CAGL0A02112g, CAGL0A02134g	218378	218437	1	218378	218437
chr0I	448038	448097	+	CAGL0I04884g, CAGL0I04906g	448038	448097	1	448038	448097
chr0J	1037172	1037231	+	CAGL0J10626g	1037172	1037231	1	1037172	1037231
chr0J	923165	923224	+	CAGL0J09372g	923165	923224	1	923165	923224
chr0J	877758	877817	+	CAGL0J08913r	877758	877817	1	877758	877817
chr0I	328546	328605	+	CAGL0I03806g	328546	328605	1	328546	328605
chr0E	618815	618874	+	CAGL0E06138g, CAGL0E06160g	618815	618874	1	618815	618874
chr0H	663036	663095	+	CAGL0H06655g, CAGL0H06677g	663036	663095	1	663036	663095
chr0G	561534	561593	+	CAGL0G05808g, CAGL0G05830g	561534	561593	1	561534	561593
chr0K	236533	236592	+	CAGL0K02629g	236533	236592	1	236533	236592
chr0A	330927	330986	+	CAGL0A03278g, CAGL0A03300g	330927	330986	1	330927	330986
chr0K	1244696	1244755	+	CAGL0K12584g, CAGL0K12606g	1244696	1244755	1	1244696	1244755
chr0J	119658	119717	+	CAGL0J01265g	119658	119717	1	119658	119717
chr0B	447756	447815	+	CAGL0B04631g	447756	447815	1	447756	447815
chr0H	37119	37178	+	CAGL0H00396g	37119	37178	1	37119	37178
chr0M	836493	836552	+	CAGL0M08382g, CAGL0M08404g	836493	836552	1	836493	836552
chr0L	887181	887240	+	CAGL0L08096g, CAGL0L08118g	887181	887240	1	887181	887240
chr0C	68829	68888	+	CAGL0C00649g, CAGL0C00671g	68829	68888	1	68829	68888
chr0M	724638	724697	+	CAGL0M07183g	724638	724697	1	724638	724697
chr0F	131543	131602	+	CAGL0F01243g, CAGL0F01265g	131543	131602	1	131543	131602
chr0J	1017910	1017969	+	CAGL0J10428g, CAGL0J10450g	1017910	1017969	1	1017910	1017969
chr0E	112752	112811	+	CAGL0E01243g, CAGL0E01265g	112752	112811	1	112752	112811
chr0L	1078422	1078481	+	CAGL0L10043g, CAGL0L10065r	1078422	1078481	1	1078422	1078481
chr0L	305361	305420	+	CAGL0L02607g	305361	305420	1	305361	305420
chr0I	969698	969757	+	CAGL0I10098g, CAGL0I10120g	969698	969757	1	969698	969757
chr0K	866861	866920	+	CAGL0K08602g	866861	866920	1	866861	866920
chr0J	210288	210347	+	CAGL0J02134g	210288	210347	1	210288	210347
chr0L	284067	284126	+	CAGL0L02453g, CAGL0L02475g	284067	284126	1	284067	284126
chr0B	14655	14714	+	CAGL0B00286g, CAGL0B00308g	14655	14714	1	14655	14714
chr0H	212164	212223	+	CAGL0H02387g	212164	212223	1	212164	212223
chr0M	1372117	1372176	+	CAGL0M13871g, CAGL0M13893g	1372117	1372176	1	1372117	1372176
chr0F	207078	207137	+	CAGL0F02101g	207078	207137	1	207078	207137
chr0L	494273	494332	+	CAGL0L04246g	494273	494332	1	494273	494332
chr0K	111759	111818	+	CAGL0K01177g	111759	111818	1	111759	111818
chr0K	1121769	1121828	+	CAGL0K11594g, CAGL0K11616g	1121769	1121828	1	1121769	1121828
chr0G	758598	758657	+	CAGL0G08019g, CAGL0G08041g	758598	758657	1	758598	758657
chr0H	569799	569858	+	CAGL0H05731g, CAGL0H05753g	569799	569858	1	569799	569858
chr0D	53167	53226	+	CAGL0D00440g, CAGL0D00462g	53167	53226	1	53167	53226
chr0M	896506	896565	+	CAGL0M09020g	896506	896565	1	896506	896565
chr0E	70215	70274	+	CAGL0E00781g	70215	70274	1	70215	70274
chr0M	1243616	1243675	+	CAGL0M12496g	1243616	1243675	1	1243616	1243675
chr0K	598019	598078	+	CAGL0K06149g	598019	598078	1	598019	598078
chr0J	465043	465102	+	CAGL0J04906g	465043	465102	1	465043	465102
chr0G	463607	463666	+	CAGL0G04851g	463607	463666	1	463607	463666
chr0H	348747	348806	+	CAGL0H03751g, CAGL0H03773g	348747	348806	1	348747	348806
chr0G	232161	232220	+	CAGL0G02541g	232161	232220	1	232161	232220
chr0M	750099	750158	+	CAGL0M07447g	750099	750158	1	750099	750158
chr0J	647891	647950	+	CAGL0J06754g	647891	647950	1	647891	647950
chr0L	867231	867290	+	CAGL0L07898g	867231	867290	1	867231	867290
chr0H	154304	154363	+	CAGL0H01573g, CAGL0H01595g	154304	154363	1	154304	154363
chr0J	819998	820057	+	CAGL0J08250g, CAGL0J08272g	819998	820057	1	819998	820057
chr0B	317234	317293	+	CAGL0B03245g	317234	317293	1	317234	317293
chr0M	553161	553220	+	CAGL0M05137g	553161	553220	1	553161	553220
chr0I	992162	992221	+	CAGL0I10230g, CAGL0I10252g	992162	992221	1	992162	992221
chr0A	253717	253776	+	CAGL0A02365g, CAGL0A02387g	253717	253776	1	253717	253776
chr0G	418078	418137	+	CAGL0G04411g	418078	418137	1	418078	418137
chr0K	820601	820660	+	CAGL0K08250g	820601	820660	1	820601	820660
chr0G	114863	114922	+	CAGL0G01210g, CAGL0G01232g	114863	114922	1	114863	114922
chr0K	47693	47752	+	CAGL0K00451g, CAGL0K00473g	47693	47752	1	47693	47752
chr0E	561883	561942	+	CAGL0E05632g, CAGL0E05654g	561883	561942	1	561883	561942
chr0J	855744	855803	+	CAGL0J08657g	855744	855803	1	855744	855803
chr0F	217018	217077	+	CAGL0F02167g	217018	217077	1	217018	217077
chr0B	55593	55652	+	CAGL0B00660g	55593	55652	1	55593	55652
chr0J	792730	792789	+	CAGL0J08074g	792730	792789	1	792730	792789
chr0M	1211089	1211148	+	CAGL0M12122g, CAGL0M12144g	1211089	1211148	1	1211089	1211148
chr0K	478932	478991	+	CAGL0K04939g	478932	478991	1	478932	478991
chr0J	433216	433275	+	CAGL0J04576g	433216	433275	1	433216	433275
chr0G	363867	363926	+	CAGL0G03795g	363867	363926	1	363867	363926
chr0H	141114	141173	+	CAGL0H01441g	141114	141173	1	141114	141173
chr0D	441980	442039	+	CAGL0D04510g	441980	442039	1	441980	442039
chr0C	320002	320061	+	CAGL0C03201g	320002	320061	1	320002	320061
chr0J	956722	956781	+	CAGL0J09768g	956722	956781	1	956722	956781
chr0K	1174433	1174492	+	CAGL0K12078g, CAGL0K12100g	1174433	1174492	1	1174433	1174492
chr0B	494408	494467	+	CAGL0B05049g, CAGL0B05071g	494408	494467	1	494408	494467
chr0B	287234	287293	+	CAGL0B02926g, CAGL0B02948g	287234	287293	1	287234	287293
chr0D	338185	338244	+	CAGL0D03256g	338185	338244	1	338185	338244
chr0I	752816	752875	+	CAGL0I07821g	752816	752875	1	752816	752875
chr0K	31152	31211	+	CAGL0K00297g	31152	31211	1	31152	31211
chr0J	434661	434720	+	CAGL0J04576g	434661	434720	1	434661	434720
chr0A	399816	399875	+	CAGL0A04037g	399816	399875	1	399816	399875
chr0H	780987	781046	+	CAGL0H07997g, CAGL0H08019g	780987	781046	1	780987	781046
chr0I	182083	182142	+	CAGL0I02112g	182083	182142	1	182083	182142
chr0G	748262	748321	+	CAGL0G07887g	748262	748321	1	748262	748321
chr0E	686927	686986	+	CAGL0E06688g	686927	686986	1	686927	686986
chr0I	257678	257737	+	CAGL0I02926g	257678	257737	1	257678	257737
chr0G	36887	36946	+	CAGL0G00352g, CAGL0G00374g	36887	36946	1	36887	36946
chr0J	939587	939646	+	CAGL0J09570g	939587	939646	1	939587	939646
chr0K	381039	381098	+	CAGL0K04103g, CAGL0K04125g	381039	381098	1	381039	381098
chr0F	554075	554134	+	CAGL0F05489g	554075	554134	1	554075	554134
chr0G	937434	937493	+	CAGL0G09801g	937434	937493	1	937434	937493
chr0K	488339	488398	+	CAGL0K05027g, CAGL0K05049g	488339	488398	1	488339	488398
chr0H	939288	939347	+	CAGL0H09614g	939288	939347	1	939288	939347
chr0F	800696	800755	+	CAGL0F08107g	800696	800755	1	800696	800755
chr0L	52098	52157	+	CAGL0L00473g	52098	52157	1	52098	52157
chr0K	488980	489039	+	CAGL0K05027g, CAGL0K05049g	488980	489039	1	488980	489039
chr0H	310808	310867	+	CAGL0H03311g	310808	310867	1	310808	310867
chr0L	1233404	1233463	+	CAGL0L11550g, CAGL0L11572g	1233404	1233463	1	1233404	1233463
chr0D	248389	248448	+	CAGL0D02420g, CAGL0D02442g	248389	248448	1	248389	248448
chr0K	1008864	1008923	+	CAGL0K10340g, CAGL0K10362g	1008864	1008923	1	1008864	1008923
chr0H	114025	114084	+	CAGL0H01199g	114025	114084	1	114025	114084
chr0D	41905	41964	+	CAGL0D00330g	41905	41964	1	41905	41964
chr0F	287903	287962	+	CAGL0F02959g	287903	287962	1	287903	287962
chr0D	28190	28249	+	CAGL0D00198g	28190	28249	1	28190	28249
chr0A	237418	237477	+	CAGL0A02233g, CAGL0A02255g	237418	237477	1	237418	237477
chr0G	213878	213937	+	CAGL0G02387g	213878	213937	1	213878	213937
chr0C	364884	364943	+	CAGL0C03652g	364884	364943	1	364884	364943
chr0M	1376224	1376283	+	CAGL0M13893g, CAGL0M13915g	1376224	1376283	1	1376224	1376283
chr0D	18496	18555	+	CAGL0D00154g, CAGL0D00176g	18496	18555	1	18496	18555
chr0M	1194215	1194274	+	CAGL0M12012g	1194215	1194274	1	1194215	1194274
chr0A	226681	226740	+	CAGL0A02211g, CAGL0A02233g	226681	226740	1	226681	226740
chr0E	314514	314573	+	CAGL0E03377r, CAGL0E03421g	314514	314573	1	314514	314573
chr0B	417351	417410	+	CAGL0B04257g	417351	417410	1	417351	417410
chr0A	123935	123994	+	CAGL0A01199g, CAGL0A01221g	123935	123994	1	123935	123994
chr0H	894247	894306	+	CAGL0H09130g, CAGL0H09152g	894247	894306	1	894247	894306
chr0B	340701	340760	+	CAGL0B03421g, CAGL0B03443g	340701	340760	1	340701	340760
chr0L	236264	236323	+	CAGL0L02013g, CAGL0L02035g	236264	236323	1	236264	236323
chr0H	680906	680965	+	CAGL0H06853g	680906	680965	1	680906	680965
chr0D	538141	538200	+	CAGL0D05654g	538141	538200	1	538141	538200
chr0E	668193	668252	+	CAGL0E06644g, CAGL0E06666g	668193	668252	1	668193	668252
chr0I	299048	299107	+	CAGL0I03498g, CAGL0I03520g	299048	299107	1	299048	299107
chr0M	991236	991295	+	CAGL0M09999g	991236	991295	1	991236	991295
chr0F	662166	662225	+	CAGL0F06743g	662166	662225	1	662166	662225
chr0F	558604	558663	+	CAGL0F05555g	558604	558663	1	558604	558663
chr0J	824562	824621	+	CAGL0J08316g	824562	824621	1	824562	824621
chr0F	809871	809930	+	CAGL0F08173g, CAGL0F08195g	809871	809930	1	809871	809930
chr0G	684341	684400	+	CAGL0G07183g, CAGL0G07205g	684341	684400	1	684341	684400
chr0J	687797	687856	+	CAGL0J07150g	687797	687856	1	687797	687856
chr0F	874434	874493	+	CAGL0F08833g	874434	874493	1	874434	874493
chr0I	927478	927537	+	CAGL0I09702g, CAGL0I09724g	927478	927537	1	927478	927537
chr0K	947641	947700	+	CAGL0K09614g	947641	947700	1	947641	947700
chr0M	688877	688936	+	CAGL0M06721g	688877	688936	1	688877	688936
chr0K	1075087	1075146	+	CAGL0K11000g, CAGL0K11022g	1075087	1075146	1	1075087	1075146
chr0A	258235	258294	+	CAGL0A02431g	258235	258294	1	258235	258294
chr0G	556255	556314	+	CAGL0G05764g, CAGL0G05786g	556255	556314	1	556255	556314
chr0C	277554	277613	+	CAGL0C02761g	277554	277613	1	277554	277613
chr0L	1183278	1183337	+	CAGL0L11132g, CAGL0L11154g	1183278	1183337	1	1183278	1183337
chr0E	410294	410353	+	CAGL0E04290g, CAGL0E04312g	410294	410353	1	410294	410353
chr0L	386346	386405	+	CAGL0L03377g	386346	386405	1	386346	386405
chr0L	335211	335270	+	CAGL0L02849g	335211	335270	1	335211	335270
chr0G	962462	962521	+	CAGL0G10065g, CAGL0G10087g	962462	962521	1	962462	962521
chr0G	359363	359422	+	CAGL0G03729g	359363	359422	1	359363	359422
chr0H	433321	433380	+	CAGL0H04587g, CAGL0H04609g	433321	433380	1	433321	433380
chr0M	33846	33905	+	CAGL0M00286g	33846	33905	1	33846	33905
chr0C	278715	278774	+	CAGL0C02783g	278715	278774	1	278715	278774
chr0L	1395724	1395783	+	CAGL0L13090g	1395724	1395783	1	1395724	1395783
chr0B	228979	229038	+	CAGL0B02387g	228979	229038	1	228979	229038
chr0L	617437	617496	+	CAGL0L05654g	617437	617496	1	617437	617496
chr0K	1258275	1258334	+	CAGL0K12672g, CAGL0K12694g	1258275	1258334	1	1258275	1258334
chr0J	451073	451132	+	CAGL0J04752g	451073	451132	1	451073	451132
chr0M	1390190	1390249	+	CAGL0M14069g	1390190	1390249	1	1390190	1390249
chr0A	363031	363090	+	CAGL0A03608g, CAGL0A03630g	363031	363090	1	363031	363090
chr0F	377736	377795	+	CAGL0F03883g, CAGL0F03905g	377736	377795	1	377736	377795
chr0D	197332	197391	+	CAGL0D01826g	197332	197391	1	197332	197391
chr0M	418731	418790	+	CAGL0M03707g	418731	418790	1	418731	418790
chr0M	476319	476378	+	CAGL0M04323g, CAGL0M04345g	476319	476378	1	476319	476378
chr0M	1018369	1018428	+	CAGL0M10175g	1018369	1018428	1	1018369	1018428
chr0A	169181	169240	+	CAGL0A01760g	169181	169240	1	169181	169240
chr0K	691249	691308	+	CAGL0K07029g	691249	691308	1	691249	691308
chr0K	173453	173512	+	CAGL0K01991g	173453	173512	1	173453	173512
chr0K	391483	391542	+	CAGL0K04257g	391483	391542	1	391483	391542
chr0G	698612	698671	+	CAGL0G07359g, CAGL0G07381g	698612	698671	1	698612	698671
chr0K	916328	916387	+	CAGL0K09284g	916328	916387	1	916328	916387
chr0H	136852	136911	+	CAGL0H01375g, CAGL0H01397g	136852	136911	1	136852	136911
chr0L	4578	4637	+	CAGL0L00154g	4578	4637	1	4578	4637
chr0J	556952	557011	+	CAGL0J05874g	556952	557011	1	556952	557011
chr0H	174001	174060	+	CAGL0H01793g, CAGL0H01815g	174001	174060	1	174001	174060
chr0E	314674	314733	+	CAGL0E03377r, CAGL0E03421g	314674	314733	1	314674	314733
chr0D	133198	133257	+	CAGL0D01122g	133198	133257	1	133198	133257
chr0D	395160	395219	+	CAGL0D03960g	395160	395219	1	395160	395219
chr0J	510749	510808	+	CAGL0J05324g, CAGL0J05346g	510749	510808	1	510749	510808
chr0F	443228	443287	+	CAGL0F04433g	443228	443287	1	443228	443287
chr0C	547745	547804	+	CAGL0C05599g, CAGL0C05621g	547745	547804	1	547745	547804
chr0E	402029	402088	+	CAGL0E04158g	402029	402088	1	402029	402088
chr0J	526810	526869	+	CAGL0J05522g, CAGL0J05544g	526810	526869	1	526810	526869
chr0L	229599	229658	+	CAGL0L01969g, CAGL0L01991g	229599	229658	1	229599	229658
chr0K	1115485	1115544	+	CAGL0K11506g	1115485	1115544	1	1115485	1115544
chr0K	548086	548145	+	CAGL0K05621g	548086	548145	1	548086	548145
chr0I	942129	942188	+	CAGL0I09856g	942129	942188	1	942129	942188
chr0K	1087315	1087374	+	CAGL0K11198g	1087315	1087374	1	1087315	1087374
chr0F	859902	859961	+	CAGL0F08635g	859902	859961	1	859902	859961
chr0D	23859	23918	+	CAGL0D00176g	23859	23918	1	23859	23918
chr0F	469147	469206	+	CAGL0F04631g, CAGL0F04653g	469147	469206	1	469147	469206
chr0F	552282	552341	+	CAGL0F05445g	552282	552341	1	552282	552341
chr0B	758	817	+	CAGL0B00110g	758	817	1	758	817
chr0K	628488	628547	+	CAGL0K06413g	628488	628547	1	628488	628547
chr0L	1074570	1074629	+	CAGL0L10021g	1074570	1074629	1	1074570	1074629
chr0H	984917	984976	+	CAGL0H10098g	984917	984976	1	984917	984976
chr0M	374219	374278	+	CAGL0M03267g	374219	374278	1	374219	374278
chr0D	224118	224177	+	CAGL0D02178g	224118	224177	1	224118	224177
chr0M	882761	882820	+	CAGL0M08822g, CAGL0M08844g	882761	882820	1	882761	882820
chr0E	448113	448172	+	CAGL0E04642g	448113	448172	1	448113	448172
chr0E	427160	427219	+	CAGL0E04444g, CAGL0E04466g	427160	427219	1	427160	427219
chr0C	223629	223688	+	CAGL0C02189g	223629	223688	1	223629	223688
chr0L	596545	596604	+	CAGL0L05412g, CAGL0L05434g	596545	596604	1	596545	596604
chr0D	56014	56073	+	CAGL0D00462g	56014	56073	1	56014	56073
chr0I	117059	117118	+	CAGL0I01430g, CAGL0I01452r	117059	117118	1	117059	117118
chr0G	515338	515397	+	CAGL0G05445g	515338	515397	1	515338	515397
chr0F	166588	166647	+	CAGL0F01661g	166588	166647	1	166588	166647
chr0I	822070	822129	+	CAGL0I08415g	822070	822129	1	822070	822129
chr0A	481165	481224	+	CAGL0A04895g	481165	481224	1	481165	481224
chr0G	370527	370586	+	CAGL0G03883g, CAGL0G03905g	370527	370586	1	370527	370586
chr0D	649881	649940	+	CAGL0D06732g	649881	649940	1	649881	649940
chr0F	654491	654550	+	CAGL0F06633g	654491	654550	1	654491	654550
chr0A	51641	51700	+	CAGL0A00473g	51641	51700	1	51641	51700
chr0C	465525	465584	+	CAGL0C04961g, CAGL0C04983g	465525	465584	1	465525	465584
chr0M	27330	27389	+	CAGL0M00198g, CAGL0M00220g	27330	27389	1	27330	27389
chr0H	810903	810962	+	CAGL0H08261g	810903	810962	1	810903	810962
chr0G	655433	655492	+	CAGL0G06864g	655433	655492	1	655433	655492
chr0M	1089011	1089070	+	CAGL0M10978g, CAGL0M11000r	1089011	1089070	1	1089011	1089070
chr0J	37957	38016	+	CAGL0J00451g, CAGL0J00473g	37957	38016	1	37957	38016
chr0L	471617	471676	+	CAGL0L04004g	471617	471676	1	471617	471676
chr0L	784442	784501	+	CAGL0L06996g	784442	784501	1	784442	784501
chr0L	1166394	1166453	+	CAGL0L10912g	1166394	1166453	1	1166394	1166453
chr0M	734673	734732	+	CAGL0M07293g	734673	734732	1	734673	734732
chr0M	854647	854706	+	CAGL0M08536g, CAGL0M08558g	854647	854706	1	854647	854706
chr0M	593974	594033	+	CAGL0M05533g	593974	594033	1	593974	594033
chr0K	937894	937953	+	CAGL0K09504g	937894	937953	1	937894	937953
chr0L	122630	122689	+	CAGL0L01089g	122630	122689	1	122630	122689
chr0K	225028	225087	+	CAGL0K02475g, CAGL0K02497g	225028	225087	1	225028	225087
chr0J	998606	998665	+	CAGL0J10230g	998606	998665	1	998606	998665
chr0H	575245	575304	+	CAGL0H05841g	575245	575304	1	575245	575304
chr0J	132099	132158	+	CAGL0J01419g	132099	132158	1	132099	132158
chr0B	438009	438068	+	CAGL0B04477g	438009	438068	1	438009	438068
chr0E	43763	43822	+	CAGL0E00451g, CAGL0E00473g	43763	43822	1	43763	43822
chr0G	706520	706579	+	CAGL0G07425g, CAGL0G07447g	706520	706579	1	706520	706579
chr0H	188550	188609	+	CAGL0H02123g	188550	188609	1	188550	188609
chr0J	716614	716673	+	CAGL0J07414g	716614	716673	1	716614	716673
chr0H	100994	101053	+	CAGL0H01067g	100994	101053	1	100994	101053
chr0I	901184	901243	+	CAGL0I09350g, CAGL0I09372g	901184	901243	1	901184	901243
chr0I	302200	302259	+	CAGL0I03564g	302200	302259	1	302200	302259
chr0K	626301	626360	+	CAGL0K06369g, CAGL0K06391g	626301	626360	1	626301	626360
chr0L	204299	204358	+	CAGL0L01771g, CAGL0L01793g	204299	204358	1	204299	204358
chr0G	342160	342219	+	CAGL0G03509g	342160	342219	1	342160	342219
chr0M	640319	640378	+	CAGL0M06127g	640319	640378	1	640319	640378
chr0F	763392	763451	+	CAGL0F07821g	763392	763451	1	763392	763451
chr0H	556351	556410	+	CAGL0H05599g, CAGL0H05621g	556351	556410	1	556351	556410
chr0G	298806	298865	+	CAGL0G03179g, CAGL0G03201g	298806	298865	1	298806	298865
chr0M	1314190	1314249	+	CAGL0M13365g	1314190	1314249	1	1314190	1314249
chr0M	921700	921759	+	CAGL0M09185g	921700	921759	1	921700	921759
chr0E	137759	137818	+	CAGL0E01441g, CAGL0E01463g	137759	137818	1	137759	137818
chr0F	751004	751063	+	CAGL0F07689g, CAGL0F07711g	751004	751063	1	751004	751063
chr0D	458040	458099	+	CAGL0D04686g	458040	458099	1	458040	458099
chr0M	1218185	1218244	+	CAGL0M12166g, CAGL0M12188g	1218185	1218244	1	1218185	1218244
chr0F	140965	141024	+	CAGL0F01397g	140965	141024	1	140965	141024
chr0I	104614	104673	+	CAGL0I01276g	104614	104673	1	104614	104673
chr0I	91452	91511	+	CAGL0I01078g, CAGL0I01100g	91452	91511	1	91452	91511
chr0J	1171071	1171130	+	CAGL0J11968g	1171071	1171130	1	1171071	1171130
chr0L	1253773	1253832	+	CAGL0L11748g, CAGL0L11770g	1253773	1253832	1	1253773	1253832
chr0A	93145	93204	+	CAGL0A00913g	93145	93204	1	93145	93204
chr0L	643810	643869	+	CAGL0L05808g, CAGL0L05830g	643810	643869	1	643810	643869
chr0H	755849	755908	+	CAGL0H07733g	755849	755908	1	755849	755908
chr0L	543272	543331	+	CAGL0L04752g	543272	543331	1	543272	543331
chr0G	310576	310635	+	CAGL0G03267g, CAGL0G03289g	310576	310635	1	310576	310635
chr0M	565008	565067	+	CAGL0M05247g	565008	565067	1	565008	565067
chr0C	277087	277146	+	CAGL0C02739g	277087	277146	1	277087	277146
chr0E	370684	370743	+	CAGL0E03894g, CAGL0E03916g	370684	370743	1	370684	370743
chr0J	1079151	1079210	+	CAGL0J11088g	1079151	1079210	1	1079151	1079210
chr0M	702063	702122	+	CAGL0M06875g, CAGL0M06897g	702063	702122	1	702063	702122
chr0J	814958	815017	+	CAGL0J08228g	814958	815017	1	814958	815017
chr0K	1021031	1021090	+	CAGL0K10472g	1021031	1021090	1	1021031	1021090
chr0J	665915	665974	+	CAGL0J06974g	665915	665974	1	665915	665974
chr0I	453901	453960	+	CAGL0I04950g	453901	453960	1	453901	453960
chr0E	342966	343025	+	CAGL0E03652g, CAGL0E03674g	342966	343025	1	342966	343025
chr0J	535003	535062	+	CAGL0J05610g	535003	535062	1	535003	535062
chr0K	1211960	1212019	+	CAGL0K12408g	1211960	1212019	1	1211960	1212019
chr0K	147637	147696	+	CAGL0K01661g	147637	147696	1	147637	147696
chr0K	1065204	1065263	+	CAGL0K10890g, CAGL0K10912g	1065204	1065263	1	1065204	1065263
chr0H	688883	688942	+	CAGL0H06941g	688883	688942	1	688883	688942
chr0M	332655	332714	+	CAGL0M02937g, CAGL0M02959g	332655	332714	1	332655	332714
chr0B	333946	334005	+	CAGL0B03399g	333946	334005	1	333946	334005
chr0K	296550	296609	+	CAGL0K03223g	296550	296609	1	296550	296609
chr0G	759525	759584	+	CAGL0G08041g	759525	759584	1	759525	759584
chr0M	270891	270950	+	CAGL0M02255g	270891	270950	1	270891	270950
chr0H	31990	32049	+	CAGL0H00330g, CAGL0H00352g	31990	32049	1	31990	32049
chr0K	479258	479317	+	CAGL0K04939g	479258	479317	1	479258	479317
