Source Name	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]
Sample 21	Candida glabrata	CAGL0K08756g::TRP1/his5D/trp1D/ura3D	CgYap5 mutant	whole organism	P-MTAB-48620	P-MTAB-48606	P-MTAB-48609	Sample 21	P-MTAB-48610	Sample 21:Cy5	Cy5	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_2_1	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_2_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap5 mutant	FeSO4	5	millimolar
Sample 23	Candida glabrata	CAGL0K08756g::TRP1/his5D/trp1D/ura3D	CgYap5 mutant	whole organism	P-MTAB-48620	P-MTAB-48606	P-MTAB-48609	Sample 23	P-MTAB-48610	Sample 23:Cy3	Cy3	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap5 mutant	FeSO4	5	millimolar
Sample 33	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48606	P-MTAB-48609	Sample 33	P-MTAB-48610	Sample 33:Cy5	Cy5	P-MTAB-48611	US92003687_252794010014_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010014_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	FeSO4	5	millimolar
Sample 22	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48606	P-MTAB-48609	Sample 22	P-MTAB-48610	Sample 22:Cy3	Cy3	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_2_1	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_2_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	FeSO4	5	millimolar
Sample 24	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48606	P-MTAB-48609	Sample 24	P-MTAB-48610	Sample 24:Cy5	Cy5	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	FeSO4	5	millimolar
Sample 35	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48606	P-MTAB-48609	Sample 35	P-MTAB-48610	Sample 35:Cy3	Cy3	P-MTAB-48611	US82900153_252794010015_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US82900153_252794010015_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	FeSO4	5	millimolar
Sample 17	Candida glabrata	CAGL0M08800g::TRP1/his5D/trp1D/ura3D	CgYap4/6 mutant	whole organism	P-MTAB-48620	P-MTAB-48605	P-MTAB-48609	Sample 17	P-MTAB-48610	Sample 17:Cy5	Cy5	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_1_3	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_1_3.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap4/6 mutant	sodium chloride	1	molar
Sample 19	Candida glabrata	CAGL0M08800g::TRP1/his5D/trp1D/ura3D	CgYap4/6 mutant	whole organism	P-MTAB-48620	P-MTAB-48605	P-MTAB-48609	Sample 19	P-MTAB-48610	Sample 19:Cy3	Cy3	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_1_4	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_1_4.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap4/6 mutant	sodium chloride	1	molar
Sample 18	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48605	P-MTAB-48609	Sample 18	P-MTAB-48610	Sample 18:Cy3	Cy3	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_1_3	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_1_3.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	sodium chloride	1	molar
Sample 20	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48605	P-MTAB-48609	Sample 20	P-MTAB-48610	Sample 20:Cy5	Cy5	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_1_4	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_1_4.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	sodium chloride	1	molar
Sample 1	Candida glabrata	CAGL0H04631g::TRP1/his5D/trp1D/ura3D	CgYap1 mutant	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 1	P-MTAB-48610	Sample 1:Cy5	Cy5	P-MTAB-48611	US92003687_252794010003_S01_GE2_107_Sep09_1_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010003_S01_GE2_107_Sep09_1_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap1 mutant	selenite	1	millimolar
Sample 3	Candida glabrata	CAGL0H04631g::TRP1/his5D/trp1D/ura3D	CgYap1 mutant	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 3	P-MTAB-48610	Sample 3:Cy3	Cy3	P-MTAB-48611	US92003687_252794010003_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010003_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap1 mutant	selenite	1	millimolar
Sample 11	Candida glabrata	CAGL0K02585g::TRP1/his5D/trp1D/ura3D	CgYap3a mutant	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 11	P-MTAB-48610	Sample 11:Cy3	Cy3	P-MTAB-48611	US92003687_252794010013_S01_GE2_107_Sep09_1_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010013_S01_GE2_107_Sep09_1_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap3a mutant	selenite	1	millimolar
Sample 9	Candida glabrata	CAGL0K02585g::TRP1/his5D/trp1D/ura3D	CgYap3a mutant	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 9	P-MTAB-48610	Sample 9:Cy5	Cy5	P-MTAB-48611	US92003687_252794010013_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010013_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap3a mutant	selenite	1	millimolar
Sample 13	Candida glabrata	CAGL0M10087g::TRP1/his5D/trp1D/ura3D	CgYap3b mutant	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 13	P-MTAB-48610	Sample 13:Cy5	Cy5	P-MTAB-48611	US92003687_252794010009_S01_GE2_107_Sep09_1_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010009_S01_GE2_107_Sep09_1_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap3b mutant	selenite	1	millimolar
Sample 15	Candida glabrata	CAGL0M10087g::TRP1/his5D/trp1D/ura3D	CgYap3b mutant	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 15	P-MTAB-48610	Sample 15:Cy3	Cy3	P-MTAB-48611	US92003687_252794010009_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010009_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap3b mutant	selenite	1	millimolar
Sample 2	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 2	P-MTAB-48610	Sample 2:Cy3	Cy3	P-MTAB-48611	US92003687_252794010003_S01_GE2_107_Sep09_1_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010003_S01_GE2_107_Sep09_1_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	selenite	1	millimolar
Sample 4	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 4	P-MTAB-48610	Sample 4:Cy5	Cy5	P-MTAB-48611	US92003687_252794010003_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010003_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	selenite	1	millimolar
Sample 14	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 14	P-MTAB-48610	Sample 14:Cy3	Cy3	P-MTAB-48611	US92003687_252794010009_S01_GE2_107_Sep09_1_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010009_S01_GE2_107_Sep09_1_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	selenite	1	millimolar
Sample 16	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 16	P-MTAB-48610	Sample 16:Cy5	Cy5	P-MTAB-48611	US92003687_252794010009_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010009_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	selenite	1	millimolar
Sample 12	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 12	P-MTAB-48610	Sample 12:Cy5	Cy5	P-MTAB-48611	US92003687_252794010013_S01_GE2_107_Sep09_1_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010013_S01_GE2_107_Sep09_1_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	selenite	1	millimolar
Sample 10	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48603	P-MTAB-48609	Sample 10	P-MTAB-48610	Sample 10:Cy3	Cy3	P-MTAB-48611	US92003687_252794010013_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010013_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	selenite	1	millimolar
Sample 29	Candida glabrata	CAGL0F01265g::TRP1/his5D/trp1D/ura3D	CgYap7 mutant	whole organism	P-MTAB-48620	P-MTAB-48608	P-MTAB-48609	Sample 29	P-MTAB-48610	Sample 29:Cy5	Cy5	P-MTAB-48611	US92003687_252794010012_S01_GE2_107_Sep09_1_1	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010012_S01_GE2_107_Sep09_1_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap7 mutant	control	  	        
Sample 31	Candida glabrata	CAGL0F01265g::TRP1/his5D/trp1D/ura3D	CgYap7 mutant	whole organism	P-MTAB-48620	P-MTAB-48608	P-MTAB-48609	Sample 31	P-MTAB-48610	Sample 31:Cy3	Cy3	P-MTAB-48611	US92003687_252794010012_S01_GE2_107_Sep09_2_1	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010012_S01_GE2_107_Sep09_2_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap7 mutant	control	  	        
Sample 36	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48608	P-MTAB-48609	Sample 36	P-MTAB-48610	Sample 36:Cy5	Cy5	P-MTAB-48611	US82900153_252794010015_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US82900153_252794010015_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	control	  	        
Sample 40	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48608	P-MTAB-48609	Sample 40	P-MTAB-48610	Sample 40:Cy5	Cy5	P-MTAB-48611	US82900153_252794010015_S01_GE2_107_Sep09_2_4	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US82900153_252794010015_S01_GE2_107_Sep09_2_4.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	control	  	        
Sample 30	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48608	P-MTAB-48609	Sample 30	P-MTAB-48610	Sample 30:Cy3	Cy3	P-MTAB-48611	US92003687_252794010012_S01_GE2_107_Sep09_1_1	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010012_S01_GE2_107_Sep09_1_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	control	  	        
Sample 32	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48608	P-MTAB-48609	Sample 32	P-MTAB-48610	Sample 32:Cy5	Cy5	P-MTAB-48611	US92003687_252794010012_S01_GE2_107_Sep09_2_1	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010012_S01_GE2_107_Sep09_2_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	control	  	        
Sample 34	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48608	P-MTAB-48609	Sample 34	P-MTAB-48610	Sample 34:Cy3	Cy3	P-MTAB-48611	US92003687_252794010014_S01_GE2_107_Sep09_2_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010014_S01_GE2_107_Sep09_2_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	control	  	        
Sample 38	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48608	P-MTAB-48609	Sample 38	P-MTAB-48610	Sample 38:Cy3	Cy3	P-MTAB-48611	US92003687_252794010014_S01_GE2_107_Sep09_2_4	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010014_S01_GE2_107_Sep09_2_4.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	control	  	        
