Source Name	Characteristics [Genotype]	Characteristics [Organism]	Characteristics [BioSourceType]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Factor Value [COMPOUND]	Term Source REF	Term Accession Number	Factor Value [GENOTYPE]	Factor Value [DOSE]	Unit [ConcentrationUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
wild type H2O2_2	wild_type	Candida glabrata	frozen_sample	P-MTAB-17096	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_wild type H2O2_2	total_RNA	P-MTAB-17101	wild type H2O2_2 Cys5	Cy5	unknown	P-MTAB-17095	H2O2_wild typeCy5_CgSkn7Cy3	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	wild_type	0.4	mM	htu_skn04mM_2.gpr	htu_skn04mM_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
CgSkn7 H2O2	trp1- ura3-	Candida glabrata	frozen_sample	P-MTAB-17096	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_CgSkn7	total_RNA	P-MTAB-17098	CgSkn7_H2O2 Cys3	Cy3	unknown	P-MTAB-17095	H2O2_wild typeCy5_CgSkn7Cy3	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	wild_type	0.4	mM	htu_skn04mM_2.gpr	htu_skn04mM_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
CgYap1 H2O2	his3- trp1-	Candida glabrata	frozen_sample	P-MTAB-17096	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_CgYap1	total_RNA	P-MTAB-17098	CgYap1_H2O2 Cys3	Cy3	unknown	P-MTAB-17095	H2O2_wild typeCy3_CgYap1Cy5	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	wild_type	0.4	mM	htu_yap04mM_add1.gpr	htu_yap04mM_add1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
wild type H2O2_3	wild_type	Candida glabrata	frozen_sample	P-MTAB-17096	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_wild type H2O2_3	total_RNA	P-MTAB-17101	wild type H2O2_3_Cys5	Cy5	unknown	P-MTAB-17095	H2O2_wild typeCy3_CgYap1Cy5	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	wild_type	0.4	mM	htu_yap04mM_add1.gpr	htu_yap04mM_add1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
CgYap1CgSkn7 H2O2	trp1-	Candida glabrata	frozen_sample	P-MTAB-17096	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_CgYap1CgSkn7 H2O2	total_RNA	P-MTAB-17101	CgYap1CgSkn7 H2O2 Cys5	Cy5	unknown	P-MTAB-17095	CgYapCgSkn_H2O2Cy5_CgYapCgSkn_noCy3	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	trp1-	0.4	mM	E01-08-dd.gpr	E01-08-dd.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
CgYap1CgSkn7 no stress	trp1-	Candida glabrata	frozen_sample	P-MTAB-17100	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_CgYap1CgSkn7 no stress	total_RNA	P-MTAB-17098	CgYap1CgSkn7 no stress Cys3	Cy3	unknown	P-MTAB-17095	CgYapCgSkn_H2O2Cy5_CgYapCgSkn_noCy3	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	trp1-	0.4	mM	E01-08-dd.gpr	E01-08-dd.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
wild type Mena	wild_type	Candida glabrata	frozen_sample	P-MTAB-17097	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_wild type Mena	total_RNA	P-MTAB-17101	wild type Mena Cys5	Cy5	unknown	P-MTAB-17095	wild type MenaCy5_wild type noCy3	A-MEXP-1012	Menadione	  	  	wild_type	0.1	mM	mena_wt.gpr	mena_wt.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
wild type no stress_2	wild_type	Candida glabrata	frozen_sample	P-MTAB-17100	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_wild type no stress_2	total_RNA	P-MTAB-17098	wild type no stress_2 Cys3	Cy3	unknown	P-MTAB-17095	wild type MenaCy5_wild type noCy3	A-MEXP-1012	Menadione	  	  	wild_type	0.1	mM	mena_wt.gpr	mena_wt.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
CgYap1 H2O2	his3- trp1-	Candida glabrata	frozen_sample	P-MTAB-17096	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_CgYap1	total_RNA	P-MTAB-17101	CgYap1_H2O2 Cy5	Cy5	unknown	P-MTAB-17095	H2O2_wild typeCy5_CgYap1Cy3	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	his3- trp1-	0.4	mM	htu_yap04mM_2_1.gpr	htu_yap04mM_2_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
wild type H2O2_3	wild_type	Candida glabrata	frozen_sample	P-MTAB-17096	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_wild type H2O2_3	total_RNA	P-MTAB-17098	wild type H2O2_3_Cys3	Cy3	unknown	P-MTAB-17095	H2O2_wild typeCy5_CgYap1Cy3	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	his3- trp1-	0.4	mM	htu_yap04mM_2_1.gpr	htu_yap04mM_2_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
wild type H2O2	wild_type	Candida glabrata	frozen_sample	P-MTAB-17096	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_wild type	total_RNA	P-MTAB-17101	wild type_H2O2 Cy5	Cy5	unknown	P-MTAB-17095	wild type_noCy5_H2O2Cy3	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	wild_type	0.4	mM	E01-07-WT.gpr	E01-07-WT.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
wild type no stress	wild_type	Candida glabrata	frozen_sample	P-MTAB-17100	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_wild type no stress	total_RNA	P-MTAB-17098	wild type no stress Cys3	Cy3	unknown	P-MTAB-17095	wild type_noCy5_H2O2Cy3	A-MEXP-1012	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240	wild_type	0.4	mM	E01-07-WT.gpr	E01-07-WT.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
CgYap1CgSkn7 no stress_2	trp1-	Candida glabrata	frozen_sample	P-MTAB-17100	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_CgYap1CgSkn7 no stress_2	total_RNA	P-MTAB-17098	CgYap1CgSkn7 no stress_2 Cys3	Cy3	unknown	P-MTAB-17095	CgYapCgSkn_MenaCy3_CgYapCgSkn_noCy5	A-MEXP-1012	Menadione	  	  	trp1-	0.1	mM	mena_sy.gpr	mena_sy.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
CgYap1CgSkn7 Mena	trp1-	Candida glabrata	frozen_sample	P-MTAB-17097	P-MTAB-17099	P-MTAB-17092	P-MTAB-17102	E_CgYap1CgSkn7 Mena	total_RNA	P-MTAB-17101	CgYap1CgSkn7 Mena Cys5	Cy5	unknown	P-MTAB-17095	CgYapCgSkn_MenaCy3_CgYapCgSkn_noCy5	A-MEXP-1012	Menadione	  	  	trp1-	0.1	mM	mena_sy.gpr	mena_sy.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.raw.1.zip	P-MTAB-17093	normalized_data_oxidative_stress_Candida_glabrata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2915/E-MEXP-2915.processed.1.zip
