SEQ_NAME	START	END	REP1	REP2	REP3
chr0A	117971	118030	-0.0189	0.0712	-0.0081	
chr0A	118178	118237	0.107	0.3019	0.1121	
chr0A	118494	118553	-0.0436	0	0.1739	
chr0A	118797	118856	-0.0147	0.0333	0.0815	
chr0A	119162	119221	0.0371	-0.0315	0.1541	
chr0A	119492	119551	0.038	-0.026	0.1277	
chr0A	119759	119818	0.2338	0.12	0.1674	
chr0A	120099	120158	0.2592	0.134	0.345	
chr0A	120324	120383	0.2824	0.2341	0.2012	
chr0A	120603	120662	0.4531	0.2745	0.0843	
chr0A	12068	12127	-0.1134	-0.1066	-0.0926	
chr0A	120935	120994	0.1492	-0.0114	0.171	
chr0A	121136	121195	0.1909	0.1116	0.1583	
chr0A	121557	121616	0.1694	0.1978	0.0157	
chr0A	121876	121935	0.0693	0.1818	0.1465	
chr0A	122043	122102	0.0629	0.1386	-0.0373	
chr0A	122351	122410	0.0154	0.2022	0.0212	
chr0A	122846	122905	0.1501	0.1434	0.0502	
chr0A	122926	122985	0.1296	0.1054	-0.0563	
chr0A	12321	12380	-0.3188	-0.269	-0.0536	
chr0A	123220	123279	0.0724	0.0187	0.0919	
chr0A	123707	123766	0.24	0.1909	0.1163	
chr0A	123935	123994	0.3063	0.2628	0.0314	
chr0A	124111	124170	0.2725	0.2498	0.0979	
chr0A	124550	124609	0.1196	0.0952	0.0918	
chr0A	124785	124844	0.0104	0.0585	0.0398	
chr0A	125054	125113	0.089	0.215	0.0305	
chr0A	125299	125358	0.0346	0.3055	-0.0451	
chr0A	125606	125665	0.0476	0.0483	-0.1086	
chr0A	125913	125972	0.0901	0.1018	0.0338	
chr0A	12595	12654	-0.2507	-0.1338	0.0135	
chr0A	126119	126178	0.1436	0.1213	0.1791	
chr0A	126411	126470	-0.0231	-0.046	0.0799	
chr0A	126693	126752	-0.0573	0.0487	0.0286	
chr0A	127099	127158	-0.0418	0.0083	-0.1031	
chr0A	127341	127400	0.0389	0.1569	0.082	
chr0A	12740	12799	-0.1382	-0.054	-0.1001	
chr0A	127567	127626	-0.0034	0.1411	0.0417	
chr0A	128023	128082	0.0834	0.156	0.0935	
chr0A	128318	128377	0.0969	0.209	0.1816	
chr0A	128679	128738	0.1794	0.1362	0.1226	
chr0A	129038	129097	-0.0337	0.0075	0.0146	
chr0A	129106	129165	-0.0353	0.0569	0.0894	
chr0A	129496	129555	0.0654	0.0496	0.2494	
chr0A	129835	129894	0.1238	0.0747	-0.0051	
chr0A	130024	130083	0.1428	0.0357	0.06	
chr0A	130356	130415	-0.0611	-0.0476	0.0518	
chr0A	130592	130651	0.1217	-0.039	0.0786	
chr0A	13062	13121	-0.2257	-0.2142	-0.0492	
chr0A	131008	131067	-0.0023	-0.0698	-0.1103	
chr0A	131096	131155	0.1307	0.0718	0.024	
chr0A	131579	131638	0.0419	0.0265	0.019	
chr0A	131736	131795	0	0.0281	0.0005	
chr0A	132152	132211	0.0614	0.0952	0.0485	
chr0A	132411	132470	0.0551	0.0612	0.1177	
chr0A	132846	132905	0.0718	0.0677	0.0402	
chr0A	133082	133141	0.1214	0.1016	0.0982	
chr0A	133154	133213	0.1758	0.1278	0.0445	
chr0A	133369	133428	0.1241	0.0657	0.0307	
chr0A	133659	133718	0.1964	0.1287	0.0887	
chr0A	13366	13425	-0.0979	-0.0918	-0.1654	
chr0A	133963	134022	0.1362	0.0553	0.0349	
chr0A	134242	134301	0.003	0.0795	0.0509	
chr0A	134559	134618	0.0597	0.3382	0.1181	
chr0A	134866	134925	0.142	0.2461	0.0827	
chr0A	135243	135302	0.0986	0.1484	0.0349	
chr0A	135486	135545	0.316	0.2981	0.0499	
chr0A	135773	135832	0.1741	0.0456	0.0247	
chr0A	135914	135973	0.076	-0.0326	0.0111	
chr0A	136182	136241	-0.02	0.0019	-0.1061	
chr0A	136477	136536	0.0358	0.0564	-0.0334	
chr0A	136917	136976	-0.0017	0.0006	0.0612	
chr0A	137169	137228	-0.0321	0.1233	-0.0786	
chr0A	137463	137522	-0.0348	0.0832	0.0863	
chr0A	137628	137687	0.0293	0.0487	0.0416	
chr0A	13792	13851	-0.2752	-0.2577	-0.2843	
chr0A	138117	138176	0.0638	0.0072	0.1575	
chr0A	138410	138469	0.0967	0.0588	-0.0144	
chr0A	138567	138626	0.0693	0.1281	0.0988	
chr0A	138939	138998	-0.0389	-0.0062	-0.0825	
chr0A	1390	1449	0.1127	0.0204	0.0452	
chr0A	139113	139172	0.0044	0.0217	0.0071	
chr0A	139545	139604	0.0409	0.0092	0.0295	
chr0A	139825	139884	0.0004	-0.0245	0.1135	
chr0A	140197	140256	-0.2	-0.2723	-0.1524	
chr0A	140394	140453	-0.007	0.0687	0.0344	
chr0A	140880	140939	-0.0074	-0.0587	0.0061	
chr0A	14104	14163	-0.1773	-0.2143	-0.1324	
chr0A	141079	141138	0.0383	-0.087	-0.0635	
chr0A	141273	141332	0.0007	-0.0389	0.1114	
chr0A	141785	141844	0.3052	0.2445	0.0524	
chr0A	142021	142080	0.0972	0.0777	0.0669	
chr0A	142300	142359	0.2634	0.2508	0.0291	
chr0A	142487	142546	0.1952	0.2375	0.1217	
chr0A	142826	142885	0.2534	0.1646	0.072	
chr0A	14296	14355	-0.0623	-0.1063	0.0759	
chr0A	143123	143182	0.1895	0.0558	-0.0422	
chr0A	143427	143486	0.131	0.0921	0.0763	
chr0A	143606	143665	0.3393	0.2306	0.1161	
chr0A	144069	144128	0.1602	0.1169	0.091	
chr0A	144224	144283	0.4109	0.3127	0.207	
chr0A	144529	144588	0.1225	-0.0051	-0.0017	
chr0A	144879	144938	0.147	0.0976	0.0203	
chr0A	145156	145215	0.2171	0.2208	-0.0015	
chr0A	14518	14577	-0.0477	-0.0975	-0.1142	
chr0A	145440	145499	0.0691	0.2213	0.0282	
chr0A	145669	145728	-0.0922	0.0335	-0.0637	
chr0A	146216	146275	-0.1128	-0.0646	-0.1249	
chr0A	146391	146450	-0.0629	-0.0859	0.006	
chr0A	146769	146828	-0.037	-0.0383	0.0078	
chr0A	147121	147180	-0.1731	-0.2845	-0.353	
chr0A	147297	147356	-0.0404	-0.1302	-0.0315	
chr0A	147624	147683	0.0149	-0.0351	-0.0344	
chr0A	147882	147941	-0.0851	-0.1292	-0.0613	
chr0A	14820	14879	0.104	0.1075	-0.0303	
chr0A	148331	148390	-0.0847	-0.2002	-0.1007	
chr0A	148468	148527	-0.0833	-0.1197	-0.108	
chr0A	148767	148826	0	0.0076	-0.0789	
chr0A	149146	149205	0.0522	0.0686	0.0232	
chr0A	149511	149570	0.0842	0.137	0.0291	
chr0A	149717	149776	-0.03	0.0354	-0.0194	
chr0A	150105	150164	0.0303	0.0116	-0.0138	
chr0A	150350	150409	0.0883	0.0628	-0.0629	
chr0A	150613	150672	0.092	0.0949	0.0368	
chr0A	150958	151017	0.2094	0.0411	-0.0089	
chr0A	151281	151340	0.2186	0.1183	0.0229	
chr0A	151441	151500	0.2358	0.2065	0.1282	
chr0A	15170	15229	0.0532	0.0641	0	
chr0A	151893	151952	0.1859	0.1733	0.1442	
chr0A	152143	152202	0.2489	0.1695	0.0878	
chr0A	152360	152419	0.2259	0.1445	0.2326	
chr0A	152865	152924	0.1645	0.2234	-0.0135	
chr0A	153021	153080	0.0513	0.0926	-0.0327	
chr0A	153343	153402	0.1207	0.0738	-0.0668	
chr0A	153530	153589	0.092	0.0015	-0.0906	
chr0A	154022	154081	0.1425	0.064	-0.0252	
chr0A	154150	154209	0.1057	0.1229	0.0049	
chr0A	154404	154463	0.0827	0.0359	-0.0828	
chr0A	154605	154664	0.0824	0.0975	0.0614	
chr0A	155071	155130	0.1097	0.0253	0.0231	
chr0A	15522	15581	-0.0704	-0.0295	-0.0472	
chr0A	155222	155281	0.0642	0.1431	0.0463	
chr0A	155674	155733	0.1059	0.1524	0.2877	
chr0A	155820	155879	0.1501	0.0569	-0.094	
chr0A	156112	156171	0.0844	0.0658	0.0724	
chr0A	156429	156488	0.0012	-0.1257	-0.0863	
chr0A	156742	156801	0.0267	-0.0412	0.0568	
chr0A	157173	157232	0.1024	0.0409	0.2043	
chr0A	157508	157567	0.3344	0.2693	0.0389	
chr0A	157822	157881	0.2521	0.148	0.2781	
chr0A	158127	158186	0.1856	0.1661	0.2562	
chr0A	158396	158455	0.1965	0.2636	0.4103	
chr0A	158537	158596	0.2198	0.0148	0.0255	
chr0A	15872	15931	-0.0877	-0.1628	-0.0116	
chr0A	158990	159049	0.2619	0.084	0.0361	
chr0A	159284	159343	0.4241	0.1718	0.0645	
chr0A	159665	159724	0.2554	0.2788	0.2554	
chr0A	15974	16033	-0.106	-0.0988	-0.0733	
chr0A	159922	159981	0.285	0.2677	0.1464	
chr0A	160289	160348	0.3137	0.3004	0.0771	
chr0A	160508	160567	0.1864	0.1775	0.106	
chr0A	160869	160928	0.2187	0.2136	0.0491	
chr0A	161238	161297	0.0911	0.0182	0.0639	
chr0A	161363	161422	0.0298	-0.035	0.0209	
chr0A	161814	161873	0.0566	0.0018	0.0567	
chr0A	162059	162118	-0.1149	-0.1261	-0.1209	
chr0A	162283	162342	0.0781	-0.0022	-0.0276	
chr0A	1623	1682	-0.0208	-0.0088	-0.0148	
chr0A	162686	162745	-0.0679	-0.0754	0.0989	
chr0A	162980	163039	-0.008	0.0048	-0.0004	
chr0A	163227	163286	-0.0031	-0.0663	-0.1846	
chr0A	163581	163640	0.0805	0.1178	-0.0034	
chr0A	163798	163857	0.0693	0.08	0.0259	
chr0A	164039	164098	-0.0401	0.0458	0.0089	
chr0A	16415	16474	-0.0017	-0.0787	-0.0006	
chr0A	164259	164318	-0.091	-0.0561	0.0347	
chr0A	164632	164691	0.0498	0.0499	-0.02	
chr0A	164935	164994	0.1272	0.0624	-0.0276	
chr0A	165223	165282	0.2805	0.1481	0.0481	
chr0A	16555	16614	-0.2305	-0.2328	-0.1175	
chr0A	165585	165644	0.1155	0.1096	0.0147	
chr0A	165888	165947	0.1002	-0.0301	-0.0137	
chr0A	166141	166200	-0.0103	-0.0067	-0.0016	
chr0A	166297	166356	-0.0236	-0.0141	0.0053	
chr0A	166721	166780	-0.1044	-0.0899	-0.0634	
chr0A	167003	167062	-0.0652	0.1192	-0.0046	
chr0A	167244	167303	-0.0721	-0.0269	-0.0793	
chr0A	167545	167604	-0.0108	0.0835	0.0147	
chr0A	167694	167753	0.0319	0.1503	-0.0296	
chr0A	168021	168080	-0.0649	0.0542	-0.0527	
chr0A	168357	168416	-0.0085	-0.0027	-0.0007	
chr0A	168535	168594	-0.1263	-0.1706	-0.0349	
chr0A	16893	16952	-0.0184	-0.0655	-0.006	
chr0A	169013	169072	-0.0849	-0.0531	0.0571	
chr0A	169181	169240	-0.0496	-0.0055	-0.0609	
chr0A	169532	169591	-0.1435	-0.0142	0.0267	
chr0A	169941	170000	-0.1015	-0.0917	0.0641	
chr0A	170210	170269	-0.1205	-0.1017	-0.0068	
chr0A	170536	170595	0.0193	0.0216	-0.087	
chr0A	170634	170693	-0.0007	0.0221	-0.002	
chr0A	171032	171091	0.0775	-0.0074	0.0052	
chr0A	171199	171258	0.152	0.1166	0.0377	
chr0A	171582	171641	0.1521	0.089	0.1458	
chr0A	171865	171924	0.1085	0.0128	0.0184	
chr0A	172046	172105	0.2206	0.1059	0.0225	
chr0A	172505	172564	0.2189	0.1665	-0.0017	
chr0A	172620	172679	0.2725	0.2393	0.2473	
chr0A	17269	17328	0.006	-0.0632	-0.0091	
chr0A	173019	173078	0.305	0.209	0.0486	
chr0A	173194	173253	0.3477	0.2967	0.0866	
chr0A	173583	173642	0.5232	0.4326	0.3463	
chr0A	173829	173888	0.4666	0.3144	0.1137	
chr0A	174109	174168	0.2915	0.1955	0.2072	
chr0A	174402	174461	0.2204	0.1847	0.0148	
chr0A	174836	174895	-0.0315	0	-0.0175	
chr0A	175117	175176	0.0476	0.0488	0.0749	
chr0A	175368	175427	0.0633	0.0383	0.0408	
chr0A	175590	175649	0.081	0.0264	-0.0433	
chr0A	17581	17640	0.041	0.0367	0.0303	
chr0A	175969	176028	0.0956	0.1443	0.1116	
chr0A	176275	176334	0.2054	0.1759	0.0772	
chr0A	176551	176610	0.1063	-0.0039	-0.0067	
chr0A	176838	176897	0.1538	0.0593	0.0471	
chr0A	177072	177131	0.1496	0.0504	0.0214	
chr0A	177371	177430	0.1214	0.1257	0.0384	
chr0A	177656	177715	0.1923	0.2326	0.1219	
chr0A	177827	177886	0.3527	0.2026	0.0971	
chr0A	178147	178206	0.0806	0.0736	-0.0068	
chr0A	178591	178650	-0.1186	-0.1879	-0.103	
chr0A	178835	178894	-0.0948	-0.1006	-0.1162	
chr0A	179016	179075	0.18	0.1854	0.0242	
chr0A	179365	179424	-0.0803	0.0045	-0.1049	
chr0A	17941	18000	-0.1519	-0.1558	-0.2306	
chr0A	179860	179919	0.1509	0.1036	0.0429	
chr0A	180032	180091	-0.0315	-0.0603	-0.0086	
chr0A	180522	180581	0.0615	-0.0299	0.033	
chr0A	180621	180680	0.0762	0.0161	0.099	
chr0A	180950	181009	-0.0384	-0.0501	-0.0585	
chr0A	181261	181320	0.0018	-0.0581	-0.0376	
chr0A	18149	18208	-0.2476	-0.2231	-0.0293	
chr0A	181699	181758	-0.0701	0.0667	-0.1155	
chr0A	181796	181855	-0.0615	0.0304	-0.049	
chr0A	182195	182254	0.0898	0.0924	-0.0148	
chr0A	182450	182509	0.1956	0.1533	0.0944	
chr0A	182716	182775	0.084	0.0145	0.0167	
chr0A	182962	183021	0.0479	0.0111	0.0984	
chr0A	183235	183294	-0.0005	-0.0307	0.0691	
chr0A	183504	183563	-0.0123	-0.0038	0	
chr0A	183797	183856	-0.0645	-0.0195	0.0687	
chr0A	184053	184112	-0.0467	-0.0041	0.033	
chr0A	184332	184391	0.0153	0.095	-0.0064	
chr0A	184816	184875	0.0305	0.1159	0.0178	
chr0A	185108	185167	-0.0533	-0.0314	0.0114	
chr0A	18513	18572	-0.0137	-0.0184	-0.1217	
chr0A	185175	185234	-0.0229	-0.0109	0.0089	
chr0A	185648	185707	-0.0282	-0.0136	-0.1049	
chr0A	185949	186008	-0.2006	-0.183	-0.1495	
chr0A	186064	186123	-0.1289	-0.1218	0.0164	
chr0A	186355	186414	-0.2172	-0.2148	0.0263	
chr0A	186674	186733	-0.0811	-0.0225	-0.0703	
chr0A	187061	187120	-0.003	0	0.0376	
chr0A	18709	18768	0.1227	0.0754	0.0233	
chr0A	187437	187496	-0.167	-0.1208	-0.1226	
chr0A	187581	187640	-0.1555	-0.1776	-0.0986	
chr0A	188042	188101	0.0158	0.0293	-0.0176	
chr0A	188243	188302	0.0404	0.0732	-0.1106	
chr0A	188635	188694	-0.2275	-0.1537	-0.1138	
chr0A	188813	188872	-0.0771	0.0052	-0.0501	
chr0A	189169	189228	-0.0667	-0.1749	-0.1454	
chr0A	189449	189508	-0.0438	-0.1146	-0.0991	
chr0A	189607	189666	-0.0695	-0.2113	-0.1893	
chr0A	18994	19053	-0.0646	-0.0552	0	
chr0A	189986	190045	0.0066	-0.0277	0.0069	
chr0A	190343	190402	-0.1413	-0.1626	-0.1352	
chr0A	1905	1964	0.042	0.0087	0.0137	
chr0A	190518	190577	-0.2686	-0.0847	-0.0983	
chr0A	190804	190863	-0.1588	-0.1195	-0.0907	
chr0A	191149	191208	-0.1192	-0.0646	-0.0187	
chr0A	191451	191510	-0.0083	0.0167	-0.0639	
chr0A	191734	191793	-0.1434	-0.1452	-0.1529	
chr0A	191943	192002	-0.0421	0.0466	0.0144	
chr0A	19197	19256	-0.1757	-0.0714	-0.118	
chr0A	192289	192348	-0.044	0.0101	-0.0606	
chr0A	192525	192584	-0.1052	-0.0771	0.0488	
chr0A	192895	192954	-0.1198	0.008	0.0355	
chr0A	193247	193306	-0.032	0.0802	0.1098	
chr0A	193480	193539	0.0269	0.0869	-0.0207	
chr0A	193809	193868	-0.0247	0.087	-0.0217	
chr0A	194104	194163	0.055	0.1415	0.0835	
chr0A	194466	194525	-0.1341	-0.153	-0.1358	
chr0A	194830	194889	-0.0578	-0.1005	-0.0544	
chr0A	194909	194968	-0.1464	-0.1839	-0.0852	
chr0A	195321	195380	-0.1325	0.0069	-0.0635	
chr0A	195643	195702	-0.04	-0.0301	-0.1148	
chr0A	195903	195962	-0.1061	-0.0672	-0.0783	
chr0A	19614	19673	-0.2143	-0.0593	0.0144	
chr0A	196215	196274	-0.1315	-0.1504	-0.1322	
chr0A	196556	196615	-0.0711	-0.0372	0.0211	
chr0A	196696	196755	-0.1015	-0.0313	-0.0868	
chr0A	197048	197107	-0.0748	0.0035	-0.0925	
chr0A	197398	197457	-0.1626	-0.032	-0.085	
chr0A	197658	197717	-0.1201	-0.0228	-0.0018	
chr0A	198066	198125	-0.0647	-0.016	0.0276	
chr0A	198186	198245	-0.1028	-0.0408	0.1825	
chr0A	198446	198505	-0.0633	-0.0598	-0.0758	
chr0A	198898	198957	-0.184	-0.0909	0.031	
chr0A	19917	19976	-0.1122	0.0434	-0.0597	
chr0A	199244	199303	-0.17	-0.1533	-0.1812	
chr0A	199479	199538	-0.0705	-0.0908	-0.1255	
chr0A	199721	199780	-0.1876	-0.185	-0.1718	
chr0A	200092	200151	-0.195	-0.2196	-0.2801	
chr0A	200312	200371	-0.1539	-0.179	-0.0773	
chr0A	200522	200581	-0.0493	-0.0127	-0.0433	
chr0A	20086	20145	-0.0821	0.0455	-0.093	
chr0A	200915	200974	-0.0303	-0.1541	0.0048	
chr0A	201222	201281	-0.0238	0.0136	0.0298	
chr0A	201591	201650	0.0378	-0.0151	-0.0708	
chr0A	201696	201755	0.1362	0.0551	-0.0593	
chr0A	202104	202163	0.0327	0.0369	-0.094	
chr0A	202383	202442	-0.0806	-0.0685	-0.0531	
chr0A	202792	202851	-0.0616	-0.0405	-0.1305	
chr0A	202899	202958	0.0876	0.1039	0.0554	
chr0A	203363	203422	-0.0321	0.0033	0.0961	
chr0A	203721	203780	-0.1502	-0.0457	0.0019	
chr0A	20376	20435	0.11	0.0346	0.0092	
chr0A	203986	204045	-0.0508	-0.0614	0.0283	
chr0A	204425	204484	-0.2282	-0.0606	-0.0287	
chr0A	204666	204725	-0.1591	-0.1641	-0.0483	
chr0A	204927	204986	-0.0912	-0.0013	-0.0458	
chr0A	205225	205284	-0.1346	-0.1199	-0.0281	
chr0A	205392	205451	-0.03	-0.0331	0.1133	
chr0A	205837	205896	0	0.0398	-0.0446	
chr0A	206168	206227	0.0462	0.0191	-0.0217	
chr0A	206417	206476	0.1532	0.0486	0.0272	
chr0A	206760	206819	0.0053	-0.0065	0.0441	
chr0A	206994	207053	-0.0627	-0.0315	0.0555	
chr0A	207375	207434	-0.1175	-0.1085	-0.1188	
chr0A	207545	207604	0.0682	0.0885	0.0682	
chr0A	20782	20841	-0.1028	-0.1516	-0.0779	
chr0A	207862	207921	-0.1833	-0.0757	0.1	
chr0A	208118	208177	-0.0021	-0.07	0.0138	
chr0A	208538	208597	-0.1331	-0.1063	-0.0189	
chr0A	208643	208702	-0.1797	-0.1835	0.0192	
chr0A	209112	209171	0.0533	-0.0919	-0.0614	
chr0A	209341	209400	0.1785	0.0498	-0.0753	
chr0A	209642	209701	0.2672	0.1964	0.1211	
chr0A	20966	21025	0.0109	0	0.0067	
chr0A	209877	209936	0.1524	0.096	0.1078	
chr0A	210185	210244	0.1681	0.077	0.0601	
chr0A	210468	210527	0.1714	-0.0067	-0.0245	
chr0A	210808	210867	0.0864	0.0016	-0.0776	
chr0A	211178	211237	-0.0048	0.0897	0.0043	
chr0A	211596	211655	0.0582	0.1584	0.0325	
chr0A	211660	211719	0.0628	0.1209	0.026	
chr0A	212158	212217	0	0.1356	-0.0233	
chr0A	212376	212435	-0.0774	-0.0586	-0.0731	
chr0A	212680	212739	-0.1379	-0.0073	0.0086	
chr0A	213020	213079	-0.1002	0.0056	-0.0465	
chr0A	213313	213372	0	-0.0156	-0.0106	
chr0A	213574	213633	0.0863	0.0409	0.0119	
chr0A	21364	21423	-0.1553	-0.1439	-0.0852	
chr0A	213863	213922	0.1525	0.1238	0.1213	
chr0A	214042	214101	0.0375	-0.0129	-0.0113	
chr0A	214322	214381	0.1289	0.169	0.0787	
chr0A	214583	214642	-0.0353	0.0792	0.0445	
chr0A	214912	214971	0.1828	0.0786	0.0291	
chr0A	21515	21574	-0.0847	-0.088	-0.0055	
chr0A	215343	215402	0.0179	0.1065	-0.0491	
chr0A	215602	215661	0.0665	-0.1022	-0.0506	
chr0A	215774	215833	-0.0422	-0.0336	0.017	
chr0A	216048	216107	-0.1055	-0.0551	0.1345	
chr0A	216388	216447	0.1017	0.1331	0.1479	
chr0A	216641	216700	0.1259	0.1395	-0.016	
chr0A	217024	217083	0.0456	0.1509	0.101	
chr0A	217301	217360	0.0166	0.0868	0.0329	
chr0A	217448	217507	0.0391	0.0718	0.0338	
chr0A	217866	217925	-0.0205	0.1034	-0.0078	
chr0A	218177	218236	-0.1145	-0.0712	-0.1203	
chr0A	218378	218437	-0.0217	0.0906	-0.0321	
chr0A	218533	218592	-0.1172	-0.0832	-0.0735	
chr0A	21862	21921	0.0677	0.0653	0.0345	
chr0A	218973	219032	-0.0041	0.0085	-0.0015	
chr0A	219125	219184	0.1256	0.1192	-0.0822	
chr0A	219379	219438	0.0312	0.0202	-0.0263	
chr0A	219728	219787	0.1076	0.0083	-0.0551	
chr0A	22015	22074	0.0069	-0.0071	0.0498	
chr0A	220179	220238	0.0422	0.0257	0.054	
chr0A	220357	220416	0.0865	0.0666	0.1019	
chr0A	220669	220728	0.1671	0.1341	0.0658	
chr0A	220854	220913	0.1838	0.1374	0.041	
chr0A	221260	221319	0.0548	0.073	0.0265	
chr0A	221659	221718	-0.04	-0.0471	0.0019	
chr0A	221781	221840	0.0248	0.0004	-0.0446	
chr0A	222042	222101	0.073	-0.0105	-0.0817	
chr0A	222331	222390	0.0479	0.1125	0.0535	
chr0A	222684	222743	-0.0053	0.1028	0.0161	
chr0A	223014	223073	0.0129	0.1086	-0.0274	
chr0A	22307	22366	-0.091	-0.0752	-0.0855	
chr0A	223193	223252	-0.0295	0.0894	0.0095	
chr0A	223585	223644	-0.0825	-0.006	-0.0128	
chr0A	223781	223840	0.0209	0.0027	-0.0189	
chr0A	224147	224206	-0.1051	-0.0938	-0.0544	
chr0A	224532	224591	-0.0571	-0.0908	0.0259	
chr0A	224627	224686	-0.1376	-0.1439	-0.0243	
chr0A	224966	225025	-0.0937	-0.0772	0.0158	
chr0A	225301	225360	-0.0118	-0.0132	-0.1223	
chr0A	2255	2314	0.0836	0.0681	0.1237	
chr0A	225570	225629	0.0516	0.0603	0.0112	
chr0A	225737	225796	0.0225	-0.0208	0.0003	
chr0A	22594	22653	-0.1056	-0.0519	-0.248	
chr0A	226172	226231	0.0781	0.0268	0.0571	
chr0A	226421	226480	0.0619	-0.0077	0.0379	
chr0A	226681	226740	-0.0996	-0.0403	0.0601	
chr0A	226939	226998	-0.0114	0.0252	0.0017	
chr0A	227152	227211	0.024	0.0697	-0.0287	
chr0A	227476	227535	-0.0904	0.0789	0.2394	
chr0A	227775	227834	0.1021	0.0713	0.0109	
chr0A	228156	228215	0.3677	0.2531	0.1675	
chr0A	228472	228531	0.3618	0.486	0.2629	
chr0A	228647	228706	-0.0009	-0.0225	0.0044	
chr0A	229039	229098	0.1706	0.1552	0.0761	
chr0A	229135	229194	0.0495	0.058	0.0025	
chr0A	229541	229600	-0.0629	-0.0017	-0.0553	
chr0A	229916	229975	-0.1513	0.0266	-0.1779	
chr0A	229979	230038	-0.12	-0.0165	-0.0278	
chr0A	230340	230399	-0.2199	-0.1693	-0.0464	
chr0A	230716	230775	-0.1487	-0.1478	0.0043	
chr0A	230918	230977	-0.1178	-0.0877	-0.0142	
chr0A	231230	231289	-0.137	-0.1314	0.053	
chr0A	23135	23194	0.0344	0.085	0.0824	
chr0A	231548	231607	-0.029	-0.0003	0.0962	
chr0A	231834	231893	0.0959	0.0861	0.0595	
