START	END	STRAND	Lelandais log2 chip-seq
375610	376602	+	0.7725895038969274
377255	378502	+	0.4676055500829975
383832	378874	-	0.38027208111816724
384820	387066	+	0.38027208111816724
387576	387505	-	0.46340052084024297
388401	387856	-	0.2356282484931421
388858	390270	+	0.46340052084024297
390687	392117	+	-0.46838692387177755
392339	392268	-	1.676302812259582
394454	392922	-	1.0583641625139888
394613	395029	+	0.6880559936852598
396157	395219	-	0.8921440102393322
397179	398492	+	0.8921440102393322
399220	400026	+	0.7030182622428686
400611	400291	-	0.41226041460827006
400841	401804	+	0.6172802209938846
403596	402070	-	0.795180208111502
405814	404063	-	0.7478129764031987
406133	407488	+	0.9267510179693614
408064	409188	+	0.4277485510283979
409523	410077	+	0.9829935746943103
410626	411423	+	0.6197279188818329
412849	411674	-	0.5474877953024933
415297	413588	-	0.5501970825604795
416202	415933	-	0.24100809950379498
416929	418848	+	0.5501970825604795
419951	422110	+	-0.13972476366661327
424289	422355	-	0.3740657182225377
425058	426212	+	0.7286979781826057
427929	426571	-	0.46317402032311394
429121	429771	+	0.46317402032311394
431114	429936	-	0.43982060020873215
431881	431519	-	0.5145731728297582
432158	432625	+	0.43982060020873215
433577	435544	+	0.3861826366066588
436143	436925	+	0.24285652389616355
437546	440842	+	1.264212597031075
442089	444401	+	-0.011140557605200349
445333	445085	-	-0.203533394085132
447271	447876	+	0.8760112827245465
448336	448238	-	0.7207162425211313
448806	449897	+	1.3105682327228145
450575	453700	+	1.1107470655075389
454151	455479	+	0.6496681901089715
456156	457241	+	0.09818039393890331
459218	457590	-	0.7239389138699667
460515	460159	-	-0.6838158876474417
461930	462304	+	-0.05603403491432787
463513	462716	-	0.5849625007211562
465912	464302	-	0.5305147166987798
467238	469040	+	0.5305147166987798
469655	470452	+	0.775439741980842
472251	470791	-	0.8956633401852644
482956	484291	+	0.39078995303216657
2537	1701	-	0.33431688328783715
4408	1701	-	-0.8667334691365359
4408	3980	-	-0.8667334691365359
8880	8762	-	1.83973359552381
10385	10615	+	1.1950159824051427
11136	10582	-	0.6972037652908338
11470	12102	+	0.4089629848691594
13885	12803	-	0.06904164442965142
16533	17825	+	0.40389694167364343
21441	18031	-	0.09019780897157814
23184	22171	-	0.4551946257508265
23693	24058	+	0.22948184612276717
24764	24498	-	-0.4811266897366163
26584	28815	+	-0.7410817026384382
31504	32313	+	0.2356282484931421
33144	34118	+	1.369233809665719
35991	38504	+	-0.9714308478032292
39894	38644	-	0.24935946893671726
42677	44698	+	0.02914634565951651
46124	45168	-	-0.039170597280677774
49506	48898	-	0.7459543773934607
51485	51682	+	1.2403982093907642
52916	54166	+	0.337394896233133
55093	54266	-	0.5552151573271042
57681	55441	-	0.4150374992788437
59640	58189	-	1.5145731728297582
61944	60373	-	0.42294269736418993
63358	63588	+	0.42294269736418993
63903	65153	+	0.012278329778436691
65727	68165	+	0.06273575534796275
69912	68287	-	0.503432615224558
72197	70860	-	0.589211973722514
73366	74454	+	0.589211973722514
75256	74765	-	0.7490384264667813
75930	76898	+	0.3971473403829547
78005	77088	-	1.1183199671887611
80795	78387	-	1.3561438102252754
82808	81492	-	0.6060857922869102
83143	84327	+	0.41232311458180787
84713	85951	+	0.6438561897747247
86810	86229	-	1.0658020583957462
91330	93201	+	0.2205003619952394
93733	93851	+	1.6790308250820645
96302	98530	+	0.684797768300951
99682	99050	-	0.7891032175013816
100472	101620	+	0.3709823192009083
103242	102067	-	0.4482043632140431
103561	105987	+	0.11142128266842309
107802	106216	-	0.8405217859928036
108965	109892	+	0.8405217859928036
112175	112864	+	0.20881401483590736
113262	112831	-	0.2137066934702257
113719	114279	+	0.5646138553293538
114832	118575	+	0.36405357056003884
118800	118728	-	0.2672838788351518
119648	120268	+	1.1864131242308813
122519	120462	-	0.7121976890172641
126662	123330	-	0.12858420606141283
127374	128918	+	1.1415541442140194
129714	129208	-	1.7723079749584034
131517	130216	-	0.452068230223811
131812	132516	+	1.2834539470727266
132868	134892	+	1.263034405833794
135422	136705	+	0.35009876757852343
137174	138283	+	0.4874459948068937
138826	143916	+	0.5466343820620568
144771	144100	-	0.6737717676790123
145132	145488	+	0.7776075786635519
146542	148740	+	0.28950661719498505
150934	148808	-	0.4903256265830809
153283	151250	-	1.491612024386447
153812	153740	-	1.8371495243179576
156350	154275	-	0.3728092638895465
157245	159263	+	0.25218702359680145
161106	159373	-	0.5667002943284278
161784	162653	+	0.6571122864769915
163063	164673	+	0.5667002943284278
164975	165349	+	0.932885804141463
166520	165648	-	0.4457997530495308
168662	166953	-	-0.05950101174866184
168976	170844	+	0.36975661997797754
172117	172341	+	0.21631790692676364
174521	172860	-	0.8773174802251714
175134	175709	+	0.4084648453553577
176316	179150	+	0.6706923747470401
180701	179403	-	0.37851162325372983
182677	181406	-	-0.5438238059276697
182894	183886	+	0.22239242133644802
184252	187614	+	0.1057946640225966
189792	187858	-	0.975477680865931
191136	190333	-	0.6419524793059859
193610	191736	-	1.0960018198773538
194461	195798	+	1.0960018198773538
196785	195958	-	1.0624640869466537
197409	197529	+	0.9611109866064051
198831	200696	+	0.9037846847406968
201332	202123	+	0.9925441950809528
205617	202354	-	-0.0489096004809464
212784	206410	-	0.751179453385907
213180	215003	+	0.2269651511262719
215538	215215	-	0.41822577690989127
216745	216053	-	0.792999629080534
217341	219272	+	0.09686153925258897
220222	221760	+	0.21842351913350247
223743	222130	-	0.4854268271702417
227815	224663	-	0.6629650127224294
229624	228209	-	0.8863432182044328
231172	230087	-	0.2809008266273075
232347	233921	+	0.2809008266273075
235075	234125	-	0.5348772692848471
236029	237771	+	0.5348772692848471
238507	239847	+	0.6333671326842104
240486	241424	+	0.0
243497	241731	-	0.21089678249861854
244624	246171	+	-0.18396283484259496
246796	247680	+	0.8112383565448322
250387	248795	-	1.4639470997597903
250886	253363	+	1.4639470997597903
254064	253495	-	-0.3542834681997476
255316	256731	+	-0.3542834681997476
258152	256863	-	0.7524785935375305
260722	258671	-	0.5572175102382521
264620	262590	-	0.3162593448006703
264963	265178	+	0.27207954543680074
265971	267707	+	0.3162593448006703
268987	267689	-	0.6374299206152918
270751	269303	-	0.08061846020828463
274166	271482	-	0.2048197918884982
276762	274984	-	0.6121839694561805
278657	278007	-	0.2882449686310738
281184	279334	-	-0.039170597280677774
283910	282093	-	0.12553088208385882
286753	284897	-	0.3479233034203068
289799	288006	-	0.7407571733285803
293137	291248	-	0.624133098001834
294927	296054	+	0.7553776312800866
296198	297019	+	0.980008524812534
298526	299725	+	0.265142068795785
301443	302447	+	3.149940626988158
305202	303112	-	0.818161677014187
308585	306015	-	1.5443205162238103
309417	309535	+	1.5443205162238103
312599	309816	-	0.2882449686310738
314195	313239	-	0.17425092684510232
314992	314690	-	-0.28688114778816154
316192	317667	+	-0.28688114778816154
318516	318076	-	0.6432076417571098
319012	321624	+	0.17263938613934848
322659	324521	+	0.6780719051126378
326083	324767	-	0.42402628250609836
327213	326446	-	0.5899117166928896
327774	330068	+	0.42402628250609836
330838	335832	+	0.031026895620624637
340138	336071	-	0.3454965660257667
343548	341791	-	-0.09019780897157814
344626	343994	-	1.556728819992212
348536	345399	-	0.11973924427409545
351431	349638	-	0.5265458144958343
352514	352675	+	0.5265458144958343
352819	353751	+	0.5265458144958343
354365	357430	+	0.5208321633014406
358784	357525	-	0.7369655941662062
360640	359018	-	0.6716168829753382
360774	360983	+	0.4627342413101402
361572	362978	+	0.6716168829753382
363897	366863	+	0.9009899941688343
367614	369005	+	0.7467135707177683
369880	370695	+	0.8920846608331124
371461	372900	+	0.8200909099850656
373322	373214	-	1.4751584917164147
373956	375773	+	1.334575471170565
376266	377177	+	1.2854022188622483
378159	379157	+	0.4815329110657505
380291	381814	+	0.4572069535227834
382395	382111	-	0.5849625007211562
383336	382452	-	0.8375695351046119
383602	384522	+	0.5849625007211562
384955	384701	-	0.816288046827612
385192	386487	+	1.0815298854965985
386875	387465	+	0.49476469174957804
389759	387861	-	0.37550913509220646
392331	390700	-	-0.6751603096927343
395181	393430	-	0.7281953845384741
397030	395822	-	0.404983834614921
398111	397590	-	0.7852611512069874
399442	398402	-	2.09426073151024
399907	399978	+	2.09426073151024
400331	401164	+	2.09426073151024
402517	401513	-	0.8406921059317168
402798	404498	+	0.4892620843005707
407298	404713	-	0.37851162325372983
408700	409593	+	0.37851162325372983
412230	414932	+	0.6801197337614963
416601	415660	-	2.2172307162206693
418361	417273	-	0.3195415020504845
420273	418678	-	0.6443410478000879
420544	422172	+	0.3196179342001613
422687	423979	+	0.8918511961443776
424411	425592	+	0.45734830413680816
426747	425899	-	0.6280312226130421
427594	431085	+	0.6280312226130421
431810	431271	-	0.8942053359774031
434227	432245	-	0.5545888516776374
435437	437254	+	0.5545888516776374
438208	437357	-	0.7584453215766578
438657	439061	+	0.3959286763311393
440751	439732	-	0.1622714288988771
441599	442552	+	0.2209089301611174
444333	443110	-	0.5664898406496774
445964	445179	-	0.6936687601636562
446314	446979	+	0.6780719051126378
450508	447218	-	0.6800097093541301
451123	451234	+	0.3148733373534119
452586	451396	-	0.7432245846378887
453910	453356	-	0.5811101752255496
454297	455302	+	0.3241982685121895
456995	455475	-	0.6571122864769915
458314	457409	-	1.4150374992788437
459394	460194	+	1.4150374992788437
460721	461980	+	0.6133909090476738
462676	463231	+	0.4200037521721932
468096	463474	-	0.37851162325372983
468917	470005	+	0.37851162325372983
475072	476955	+	0.8707169830550334
479174	477939	-	0.8300749985576876
482563	480761	-	0.6635191494839525
482911	483807	+	-0.4280936521042903
484166	484636	+	0.7347613232394763
485118	485047	-	1.8224302425197023
486877	486950	+	1.400283732588817
487186	491598	+	1.400283732588817
498198	501364	+	-0.398549376490275
498198	498890	+	-0.398549376490275
499977	500702	+	0.5426000603928609
501047	501364	+	0.6319494230905504
4284	2137	-	0.8073549220576041
12939	11626	-	0.03562390973072122
15916	17538	+	-0.06926266243711372
23710	18884	-	-0.384663850235325
28113	28823	+	-0.4759197414258661
29470	31620	+	0.7983661388303495
34077	32335	-	0.6842241320942329
34815	35165	+	0.2874397185020718
36599	35769	-	0.6072611678299307
37253	39814	+	-0.6110753410402875
40815	42467	+	0.4257639058719024
43086	43790	+	0.6082322800440033
44712	44179	-	0.12285674778553339
52360	45221	-	0.37241786534105553
53465	53079	-	0.834715385449597
54154	56700	+	0.37241786534105553
57175	59502	+	1.0359792971055666
61893	59854	-	0.6214883767462703
62224	63396	+	0.04692104738749238
63957	64904	+	1.015430040569606
65389	66483	+	0.5208321633014406
66983	68512	+	0.3514723705013778
69396	71900	+	0.6096849301323876
72387	73334	+	1.2200484808681489
74667	74095	-	1.0569023912344768
77478	75028	-	0.40254655509564696
80435	78078	-	0.507483748043439
81411	82193	+	0.37321732358421683
86130	88502	+	0.7333543406138273
95044	95274	+	0.5210098679319405
96914	100018	+	0.683972506552322
104419	106401	+	0.7836063192849954
104419	107905	+	0.7836063192849954
106556	107905	+	0.8159680523623123
114805	117915	+	0.5187854241166728
119007	119954	+	0.1012833358371817
120608	121681	+	0.19555080911780698
124712	121944	-	0.4121259038589405
127896	125743	-	1.14017765804826
128629	129780	+	0.874469117916141
134389	129884	-	0.72762772958687
135794	134970	-	0.5994620704162712
136270	139602	+	0.72762772958687
140060	140509	+	0.37136702762186724
141275	142399	+	1.2885694979409315
145268	142575	-	1.584962500721156
146471	148522	+	1.584962500721156
151177	148889	-	0.2801079191927352
154982	153063	-	0.16505924627049623
156370	156618	+	0.11055837514769844
159947	156930	-	0.2783011624871044
162501	160384	-	0.77973387977194
164613	162991	-	0.991386869695292
165241	166932	+	1.3686445937943925
167802	168512	+	0.5488932460136344
169897	169232	-	1.5451614926631811
170694	171764	+	1.1866212903146258
172380	174038	+	1.3136604789037618
174618	175334	+	0.8204505796692875
175747	177162	+	0.09060254878090677
178411	177284	-	0.3031915323057766
178695	182042	+	0.3942789391120465
182799	182305	-	3.6159361043172877
183722	185065	+	3.6159361043172877
186123	185416	-	0.7884958948062882
187030	188487	+	1.1297678749703297
189049	188714	-	0.9365746198583664
190973	189501	-	0.31685710533994055
193387	191463	-	0.8589561185448166
196167	193730	-	1.1141710199193111
196299	199298	+	0.09163047546556834
201796	199487	-	-0.30065947813371097
202488	202384	-	0.6364092661398323
204122	202920	-	1.2349050326499966
204411	206528	+	0.8531586116707288
208511	206652	-	0.6261851634476692
208793	209806	+	0.0
210919	209930	-	0.805183823015977
211507	212958	+	0.9372642446520374
213539	213180	-	0.2827302071747134
213832	214629	+	0.5746941652673291
215305	214712	-	-0.09051229290544242
215564	216457	+	0.19129865223487943
219781	216905	-	0.6135316529179271
220619	222061	+	0.5104842847618798
222418	223767	+	0.6780719051126378
225012	226457	+	0.9891932450434171
227510	226767	-	0.513171817653146
229955	228009	-	0.5395195299599891
232967	230496	-	0.8773174802251714
233339	234424	+	0.9195813175447022
235732	234788	-	-0.031026895620624547
236112	238672	+	1.1550307861426181
239122	238940	-	0.09432738254815311
240083	239595	-	0.6855664416595619
240649	243621	+	0.09432738254815311
246581	243792	-	0.5510151687978185
247493	248149	+	0.5510151687978185
248843	248397	-	0.904652123412519
249146	249643	+	0.2801079191927352
253051	254007	+	0.4413716470923063
255761	257752	+	0.2713020218173943
259114	262965	+	0.4739311883324123
263270	265585	+	0.5098610454804375
265852	267885	+	0.5395195299599891
268568	268789	+	0.5094723011368928
270051	268999	-	0.5133395728906478
271385	270564	-	-0.2783011624871043
272010	273524	+	0.4701420987192982
275081	273699	-	0.4024374624992102
275325	276191	+	0.3642743855969571
276663	277250	+	0.9125371587496607
278147	277506	-	-0.04350163863658656
279548	278430	-	0.0630097975258005
280107	281150	+	0.13289427049734548
282197	283513	+	0.5343364276511882
283844	284164	+	0.35755200461808373
284433	285572	+	0.7132865976966957
287966	286017	-	-0.1750867065580913
290289	291692	+	0.5482039507110383
294449	291780	-	0.6943737174417381
295005	297008	+	0.9342455545162857
297244	297864	+	1.4232114307245438
298152	299600	+	1.2094533656289497
300099	303182	+	0.7400318972139898
303460	304296	+	0.9355512922731579
304634	304563	-	0.8347776175229761
305020	306099	+	0.8479969065549501
309744	306271	-	1.1899709436440706
310053	309980	-	1.661583782324069
311018	310371	-	1.0565835283663676
311804	321130	+	0.1571009610847287
321831	322592	+	0.7763280264369797
323072	323551	+	1.1488633859144828
325790	323832	-	0.39031506986761266
328799	333745	+	1.3253186840881366
334443	333898	-	0.7509724521600852
335372	337555	+	0.3068886954232212
337923	338852	+	1.3870231231092474
339146	341203	+	0.8009665940950567
340119	340352	+	1.082462160191973
341752	343191	+	1.0306967972229164
343814	345310	+	0.7742328518828956
345878	345649	-	0.9483672315846776
346533	347873	+	1.0923640181486596
348408	349031	+	0.3677317845004871
350385	349219	-	0.7813597135246597
353533	350846	-	1.0835647166391311
354541	354137	-	0.5134092396961223
356035	354713	-	0.7318038890504274
358209	356203	-	0.7316615623062791
360473	358731	-	0.6749046260339546
360681	362612	+	0.5803752312255044
364362	363172	-	0.4413716470923063
364698	365789	+	1.2152679869030665
366862	365996	-	0.28834549436298124
369630	367135	-	1.498547748903683
370244	370315	+	1.364874704540749
372123	370762	-	0.33985000288462475
374122	374820	+	0.5382142415296771
375249	374953	-	0.3905844555543048
376932	377003	+	1.355658952199912
377164	377707	+	1.5314469913941544
378586	377957	-	0.12889773318225758
380268	379501	-	0.3625700793847084
383397	381514	-	0.8000624294912481
385875	383989	-	0.4118135984045574
388586	386673	-	0.20546911829997958
391121	389250	-	0.2630344058337938
393798	391909	-	0.21538903359868547
396512	394614	-	0.3375813591988479
399213	397303	-	0.8453880540521916
401596	399734	-	1.5161236243931584
402196	402124	-	1.5317204794441768
404382	403729	-	0.789580220329628
405150	404740	-	0.6433064869519611
406014	406325	+	0.5737352452979021
407265	409343	+	0.3613995356767705
411019	409544	-	0.37367846951778644
412104	411409	-	-0.11632411796723179
412698	413999	+	-0.024453043724539072
415602	414187	-	0.45617619407233034
416100	416924	+	-0.07496205768122212
417857	417270	-	0.6184372052722443
419263	421515	+	0.6184372052722443
422097	422206	+	0.38214561772146916
423677	423997	+	-0.21359547309928892
424896	424507	-	0.4535116470934796
426015	426410	+	0.4535116470934796
428657	426906	-	0.5080005189062721
430028	429564	-	0.34365286604207856
430892	431998	+	0.8716759030244605
433236	432406	-	2.451808377434272
433780	433699	-	2.451808377434272
434137	435000	+	2.451808377434272
435373	435900	+	1.0277449904829044
438381	436255	-	0.0896372124846764
439306	440046	+	0.9475325801058645
441140	440142	-	2.035128223403602
441493	441601	+	2.035128223403602
441768	442580	+	2.035128223403602
443318	442734	-	1.2768402053588241
444197	443733	-	0.5734668618833269
445881	444934	-	0.7086978691434009
447874	447029	-	0.07675719898403804
450190	451014	+	0.649813645071124
451489	451151	-	1.028854862672185
452697	452035	-	0.8091153799220415
453297	454178	+	0.9027027986450852
456360	454291	-	1.0583641625139888
457506	460847	+	1.0583641625139888
461278	461520	+	1.144389909335175
462740	461628	-	0.429507982087177
465102	463054	-	0.37144823073116123
466732	465716	-	-0.3734583955274445
470856	467626	-	0.728928275100788
473101	475341	+	0.25525705524207465
475910	479455	+	-0.07747875267771735
480117	481781	+	0.649813645071124
484220	482106	-	0.5725787762653238
486159	484897	-	1.1699250014423124
489110	487842	-	0.32930762525295987
492512	494419	+	0.32192809488736235
496133	494688	-	1.1359776695189747
496561	497988	+	1.1359776695189747
498337	500970	+	0.3344190390705593
501476	502549	+	-0.23676071162468515
502777	503910	+	0.7129018892757368
504216	505970	+	0.027834208196725573
506270	508789	+	0.722466024471091
509230	509829	+	0.6880559936852598
510471	512000	+	1.2098471680173344
514118	512277	-	0.0
515623	515886	+	0.0
517416	516403	-	0.5008982359326817
517886	521224	+	0.4660851048692364
521838	521725	-	-0.15055967657538125
524686	522565	-	0.5615035278971673
528599	530836	+	0.06273575534796275
531914	530985	-	0.4989892776113033
533650	532337	-	1.0627357553479628
534398	535849	+	1.0627357553479628
536419	538278	+	0.7542435855980419
541559	538455	-	-0.23982701467246856
553243	553584	+	-2.3536369546147005
555325	557469	+	-0.282399730700725
3588	3088	-	0.6623338665041727
5439	3088	-	0.4288432988038744
5439	4567	-	0.4288432988038744
17914	17042	-	0.439912167917873
23693	25075	+	0.24709286196477226
27559	28710	+	0.49923262669527235
29345	29914	+	1.0489096004809466
30268	31416	+	0.062464086946653646
32868	31657	-	0.45943161863729726
37583	39784	+	0.9139601689333086
40063	40146	+	1.4835172371616103
41436	42704	+	0.31410859042806305
45531	42946	-	0.14244426502020546
45775	46086	+	0.11547721741993588
46558	46316	-	-0.10691520391651191
50011	47786	-	0.6800097093541301
52798	52244	-	0.15898952376115677
55305	57443	+	0.12553088208385882
59152	60543	+	0.017277991431835428
61050	62033	+	0.7852611512069874
64404	70649	+	0.44745897697122117
71400	72689	+	0.5894498917134701
76083	72970	-	0.44430209378403845
77780	76764	-	0.0
78622	79757	+	0.2393383133904374
80295	80084	-	0.6947079067044994
83028	80947	-	-0.07400058144377693
85554	88889	+	0.5796682010516432
90825	89194	-	0.39759236481943455
92625	92050	-	0.1724671960047656
93895	93272	-	0.07400058144377678
94794	94612	-	0.5594274086140186
95715	96986	+	0.14117606296069418
98213	97236	-	0.42340097221347045
98589	99062	+	0.685891409571937
101555	99696	-	0.8018728570411887
102218	102048	-	0.308752706139629
103438	102985	-	0.08524728661851118
103843	106263	+	0.12663343853101702
107208	106570	-	0.3246222040566254
108341	114283	+	0.4150374992788437
115802	114552	-	0.3329832833963581
117147	118073	+	0.3329832833963581
118878	121286	+	0.20744207987047633
122993	121908	-	0.39960745870923775
125320	123851	-	0.8093164383908903
128554	125834	-	1.156119201917282
131713	129293	-	0.5679894221174426
131947	133464	+	0.3148733373534119
133799	134281	+	0.724026538458708
135441	134536	-	1.9631004171884707
137409	136033	-	0.7067077730735254
137954	138646	+	1.3755091350922064
139960	138971	-	0.8496657269155684
140355	141038	+	0.4302399059225141
142000	142191	+	2.0136318655877665
142618	143949	+	0.6538243588659604
145031	147070	+	1.523561956057013
148620	149102	+	0.5365994791597571
151208	149562	-	1.1755715645834544
151997	155479	+	0.40275916950040713
157459	155762	-	0.9023033261128668
157783	158664	+	0.3410369178350669
158990	160327	+	0.5708873155094334
160810	161253	+	0.20007783544891286
163480	161495	-	1.0616923224062418
164482	163802	-	1.9284467389749662
165643	164750	-	0.6645796687845241
166233	166616	+	0.36118752533458953
167365	166898	-	0.12755004972051084
167879	168781	+	0.1996723448363644
169983	169066	-	-0.021061615527829577
171628	170546	-	0.05444778402237651
173042	172035	-	0.8948177633079436
176382	173338	-	0.2202661202280601
178279	176981	-	-0.13916274767162537
179249	180025	+	-0.13916274767162537
181279	180212	-	0.496937752923932
181792	182544	+	0.7075491061894714
183156	188054	+	1.0164881227885691
188295	189578	+	0.6674246609131291
189933	197933	+	0.4934085628317162
198355	198122	-	1.559995585204581
198685	198566	-	1.840343334011515
199161	200417	+	1.559995585204581
201005	202012	+	0.5425272344007597
203398	202712	-	0.8940093043117863
204175	204720	+	0.8940093043117863
205102	206787	+	0.921612101315284
207419	209080	+	0.9320959354981964
209642	209430	-	0.5655971758542251
210353	209961	-	0.7156314524873301
210605	210919	+	0.5655971758542251
213378	211249	-	-0.07922669115057504
214357	215860	+	-0.24181791992409804
215065	215154	+	1.1173569506381587
218489	216204	-	-0.30562628255826185
220477	219065	-	0.43673257037816293
221349	221579	+	0.2461605872693978
222174	221692	-	0.43663975376405495
222597	224330	+	0.3110397787446262
224941	228159	+	0.5796682010516432
229223	228285	-	0.24207478719814776
230967	229504	-	0.6350031832207517
232229	233164	+	0.6868421147403698
236126	233487	-	-0.3081222953623319
239213	237084	-	-0.25276607037996673
239710	242241	+	-0.04141992737998079
242706	244103	+	0.9068905956085185
246328	244241	-	1.055041363557962
247479	246787	-	0.5178483048626192
247761	248318	+	1.055041363557962
249984	248731	-	0.4794693718738423
250405	253020	+	0.8953026213333068
253496	256399	+	-0.33120590847537323
256901	257758	+	0.28317205140487
260103	258073	-	0.39940684756507955
261991	262422	+	-0.02345897282398891
263063	266116	+	0.5405683813627028
267390	266641	-	0.09515723304034004
268327	269073	+	0.4319508822151903
274285	275979	+	-0.025995208532944576
279793	278099	-	-0.028014376169596636
