Candida albicans SC5314	Candida albicans WO-1	Candida dubliniensis CD36 	Candida tropicalis MYA-3404	Candida parapsilosis CDC317	Candida orthopsilosis Co 90-125	Lodderomyces elongisporus NRLL YB-4239	Debaryomyces hansenii CBS767	Pichia stipitis Pignal	Candida tenuis NRRL Y-1498	Spathaspora passalidarum NRRL Y-27907	Candida guilliermondii ATCC 6260	Candida lusitaniae ATCC 42720	Saccharomyces cerevisiae S288C	Candida glabrata CBS138
orf19.6109	CAWG_01360	CD36_00070	---	CPAR2_109520	CORT0B10590	LELG_01447	DEHA2A13420g	PICST_63551	CANTEDRAFT_122819	SPAPADRAFT_57666	PGUG_01096	CLUG_03455	YCR084C	CAGL0E00561g
orf19.3291	CAWG_01271	CD36_00970	CTRG_04404	CPAR2_110080	CORT0B11190	LELG_05598	DEHA2B00924g	PICST_51802	CANTEDRAFT_115202	SPAPADRAFT_57792	PGUG_00048	CLUG_00020	YBR034C	CAGL0I04730g
---	---	---	---	---	---	---	DEHA2G11297g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11319g	---	---	---	---	---	---	
orf19.1831	CAWG_00374	---	---	---	---	---	---	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11341g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11473g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11539g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11594g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11601g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11627g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11649g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11660g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G11990g	PICST_33983	CANTEDRAFT_116359	SPAPADRAFT_144601	---	---	---	
---	---	---	---	---	---	---	DEHA2G12012g	---	---	---	---	---	---	
orf19.1832	CAWG_00373	CD36_09940	CTRG_03293	CPAR2_201790	CORT0D01850	LELG_03514	DEHA2C03564g	PICST_30809	---	SPAPADRAFT_139244	PGUG_05811	CLUG_00702	YGL186C	CAGL0L06138g
---	---	---	---	---	---	---	DEHA2G12507g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G12760g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G12848g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G14498g	---	---	---	---	---	YDR446W	CAGL0K06127g
---	---	---	---	---	---	---	DEHA2G14740g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G14828g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G14850g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G14916g	PICST_41766	CANTEDRAFT_101350	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G15664g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G16192g	---	CANTEDRAFT_132971	---	PGUG_04479	---	---	
orf19.1833	CAWG_00372	CD36_09950	CTRG_03289	CPAR2_212590	CORT0A11910	LELG_01058	DEHA2G11748g	PICST_64832	CANTEDRAFT_116369	SPAPADRAFT_131860	PGUG_04294	CLUG_05058	YLR175W	CAGL0H03685g
---	---	---	---	---	---	---	DEHA2G16467g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G17556g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G18722g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G19404g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G19426g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G19448g	PICST_83008	CANTEDRAFT_132762	---	PGUG_03287	---	---	
---	---	---	---	---	---	---	DEHA2G19492g	PICST_35359	CANTEDRAFT_112230	SPAPADRAFT_63627	PGUG_03285	---	YGL196W	CAGL0D01804g
---	---	---	---	---	---	---	DEHA2G19514g	PICST_35358	CANTEDRAFT_112231	---	PGUG_03282	CLUG_05617	---	
---	---	---	---	---	---	---	DEHA2G19536g	PICST_67179	CANTEDRAFT_117474	---	PGUG_03281	---	---	
---	---	---	---	---	---	---	DEHA2G19558g	---	CANTEDRAFT_100790	---	---	CLUG_04468	YER057C	
orf19.1834	CAWG_00371	CD36_09960	CTRG_03288	CPAR2_212580	CORT0A11900	LELG_01059	DEHA2G11770g	PICST_51041	---	SPAPADRAFT_130860	PGUG_04295	CLUG_05059	---	
---	---	---	---	---	---	---	DEHA2G19580g	PICST_57264	CANTEDRAFT_112234	---	PGUG_03280	---	---	
---	---	---	---	---	---	---	DEHA2G19624g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G19734g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G20658g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G20834g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G20878g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G21604g	---	---	---	PGUG_02516	---	---	
---	---	---	---	---	---	---	DEHA2G21670g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G21692g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G21868g	---	---	---	---	---	---	
orf19.3292	CAWG_01270	CD36_00980	CTRG_04405	CPAR2_110090	CORT0B11200	LELG_05599	DEHA2B00946g	PICST_51697	CANTEDRAFT_108844	SPAPADRAFT_57791	PGUG_00049	CLUG_00021	YCL033C	CAGL0B00836g
orf19.1835	CAWG_00370	CD36_09970	CTRG_03287	CPAR2_212570	CORT0A11890	LELG_01060	DEHA2G11792g	PICST_52608	CANTEDRAFT_127449	SPAPADRAFT_53575	PGUG_04296	CLUG_05060	YER149C	CAGL0I06666g
---	---	---	---	---	---	---	DEHA2G21890g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G21912g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G21934g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G22462g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G22484g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G22506g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G22616g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G22748g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G22836g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G22946g	---	---	---	---	---	---	
orf19.1836	CAWG_00369	CD36_09980	CTRG_03279	CPAR2_212560	CORT0A11880	LELG_01061	DEHA2G11814g	PICST_28317	CANTEDRAFT_127448	SPAPADRAFT_132284	PGUG_04297	CLUG_05065.1	YBL019W	CAGL0J04356g
---	---	---	---	---	---	---	DEHA2G23342g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G23364g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24332g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24508g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24728g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24838g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24860g	PICST_30036	CANTEDRAFT_131285	---	PGUG_00009	---	---	
---	---	---	---	---	---	---	DEHA2G24882g	PICST_29297	CANTEDRAFT_111114	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24904g	---	---	---	---	---	YJR154W	
---	---	---	---	---	---	---	DEHA2G24926g	---	---	---	---	---	---	
orf19.1837	CAWG_00368	CD36_09990	CTRG_03280	CPAR2_212550	CORT0A11870	LELG_01062	DEHA2G11836g	PICST_38880	CANTEDRAFT_116365	SPAPADRAFT_58486	PGUG_04298	CLUG_05066	YER148W	CAGL0I06688g
---	---	---	---	---	---	---	DEHA2G24937g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24948g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24959g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24970g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G24992g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G25014g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G25025g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G25036g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G25058g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G25080g	---	---	---	---	---	---	
orf19.1839	CAWG_00367	CD36_10000	CTRG_03283.1	CPAR2_803580	CORT0A03600	LELG_00484	DEHA2C10670g	PICST_73507	CANTEDRAFT_93280	SPAPADRAFT_139497	PGUG_03709	CLUG_05440	YOR341W	CAGL0E05500g
---	---	---	---	---	---	---	DEHA2G25102g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G25124g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G25135g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G25146g	---	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_27987	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_27988	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_27989	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_64741	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28003	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28004	---	---	---	---	---	
orf19.1840	CAWG_00366.1	CD36_10010	CTRG_03284	CPAR2_803570	CORT0A03590	LELG_00485	DEHA2C10648g	PICST_68263	CANTEDRAFT_121393	SPAPADRAFT_153115	PGUG_03710	CLUG_02457	YOR086C	CAGL0J08591g
---	---	---	---	---	---	---	---	PICST_34027	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_51091	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_17616	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_51795	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_11162	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_51290	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28139	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28157	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28181	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28187	---	---	---	---	---	
orf19.2352	CAWG_00364	CD36_10020	CTRG_03285	CPAR2_201460	CORT0D01510	LELG_03560	DEHA2C03762g	PICST_57391	CANTEDRAFT_113623	SPAPADRAFT_71070	PGUG_05804	CLUG_01366	YGR031W	CAGL0K04015g
---	---	---	---	---	---	---	---	PICST_28198	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28199	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_34123	---	---	---	CLUG_01181	---	
---	---	---	---	---	---	---	---	PICST_39160	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_51227	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_52210	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_38981	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_37839	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28231	---	---	PGUG_04597	---	---	
---	---	---	---	---	---	---	---	PICST_51094	---	---	---	---	---	
orf19.2351	CAWG_00363	CD36_10030	CTRG_03286	CPAR2_201450	CORT0D01500	LELG_03561	DEHA2C03740g	PICST_82428	CANTEDRAFT_104031	SPAPADRAFT_55849	PGUG_05805	CLUG_01365	YLR351C	CAGL0G01210g
---	---	---	---	---	---	---	---	PICST_66350	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28326	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_39246	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_80441	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28339	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28340	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_66379	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28392	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28415	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_51444	CANTEDRAFT_125617	---	PGUG_05165	---	---	
orf19.2350	CAWG_00362.1	CD36_10040	CTRG_03278	CPAR2_201440	CORT0D01490	LELG_03562	DEHA2C03718g	PICST_30815	CANTEDRAFT_130813	SPAPADRAFT_55850	PGUG_05806	---	YOR378W	
---	---	---	---	---	---	---	---	PICST_51088	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_66419	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_34292	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28493	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28494	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28495	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28496	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_38391	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28524	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28545	---	---	---	---	---
orf19.2347	CAWG_00360	CD36_10050	CTRG_03276	CPAR2_202770	CORT0D02850	LELG_03406	DEHA2C03696g	PICST_30814	CANTEDRAFT_113622	SPAPADRAFT_71814	PGUG_05807	CLUG_01364	---
---	---	---	---	---	---	---	---	PICST_86089	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28601	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28602	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28603	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_52044	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28615	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_28618	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_66477	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_66507	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_52438	---	---	PGUG_05312	---	---	
orf19.2346	CAWG_00359	CD36_10060	CTRG_03275	CPAR2_202760	CORT0D02840	LELG_03405	DEHA2C03652g	PICST_43698	CANTEDRAFT_126711	SPAPADRAFT_139014	PGUG_05808	CLUG_02046	YPL222W	CAGL0E05962g
---	---	---	---	---	---	---	---	PICST_28697	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_80185	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28702	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28707	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_51281	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28751	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_38489	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28757	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28758	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28774	---	---	---	---	---	
orf19.3293	CAWG_01269	CD36_00990	CTRG_04406	CPAR2_110100	CORT0B11210	LELG_01381	DEHA2B00968g	PICST_39084	CANTEDRAFT_108493	SPAPADRAFT_132798	PGUG_00050	CLUG_00022	YDL015C	CAGL0K01837g
orf19.2344	CAWG_00358	CD36_10070	CTRG_03258	CPAR2_201810	CORT0D01870	LELG_03517	DEHA2C03630g	---	CANTEDRAFT_95453	---	PGUG_05809	CLUG_02044	---	
---	---	---	---	---	---	---	---	PICST_28789	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28797	---	---	PGUG_00112	---	---	
---	---	---	---	---	---	---	---	PICST_37376	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_39216	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28825	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28827	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28839	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28851	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_53992	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28859	---	---	---	---	---	
orf19.2343.1	---	CD36_10080	---	CPAR2_212610	CORT0A11930	---	DEHA2G11682g	PICST_39176	CANTEDRAFT_116371	SPAPADRAFT_58495	---	---	YCL005W-A	Cgla_YGOB_VMA9
---	---	---	---	---	---	---	---	PICST_28879	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28888	---	---	PGUG_02138	---	---	
---	---	---	---	---	---	---	---	PICST_28899	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28907	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_40058	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_34542	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_86944	CANTEDRAFT_132639	---	PGUG_05795	---	---	
---	---	---	---	---	---	---	---	PICST_28949	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28950	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_86991	---	SPAPADRAFT_51566	---	---	---	
orf19.2343	CAWG_00357	CD36_10090	CTRG_04062	CPAR2_212600	CORT0A11920	LELG_01057	DEHA2G11726g	PICST_52543	CANTEDRAFT_127453	SPAPADRAFT_58489	PGUG_04293	CLUG_05056	YCL008C	CAGL0H03927g
---	---	---	---	---	---	---	---	PICST_28970	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_28971	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29026	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_34588	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_34593	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_39320	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29041	CANTEDRAFT_102680	---	PGUG_05389	---	---	
---	---	---	---	---	---	---	---	PICST_29047	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_34605	---	---	PGUG_05833	---	---	
---	---	---	---	---	---	---	---	PICST_29079	---	---	---	---	---	
orf19.2342	CAWG_00356	CD36_10100	CTRG_04065	CPAR2_804170	CORT0A04260	LELG_00391	DEHA2G15004g	PICST_55889	CANTEDRAFT_105102	SPAPADRAFT_56823	PGUG_04426	CLUG_03533	YBL102W	CAGL0M09427g
---	---	---	---	---	---	---	---	PICST_39560	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_39941	CANTEDRAFT_114622	---	PGUG_00086	---	YNR064C	
---	---	---	---	---	---	---	---	PICST_29139	---	---	---	CLUG_03027	---	
---	---	---	---	---	---	---	---	PICST_29149	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29159	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_4422	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29187	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29193	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29209	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29215	---	---	---	---	---	
orf19.2341	CAWG_00355	CD36_10110	CTRG_04066	CPAR2_804180	CORT0A04270	LELG_00390	DEHA2G14982g	PICST_42119	CANTEDRAFT_114113	SPAPADRAFT_62775	PGUG_04427	CLUG_03534	YDL125C	CAGL0J09372g
---	---	---	---	---	---	---	---	PICST_29233	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_86747	CANTEDRAFT_100867	---	PGUG_02973	---	---	
---	---	---	---	---	---	---	---	PICST_29257	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29260	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_40145	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29266	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29268	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29269	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29289	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29290	---	---	---	---	---	
orf19.2340	CAWG_00354	CD36_10120	CTRG_04067	CPAR2_804190	CORT0A04280	LELG_00389	DEHA2G14960g	PICST_67138	CANTEDRAFT_105619	SPAPADRAFT_62774	PGUG_04428	CLUG_03535	YDL126C	CAGL0J09350g
---	---	---	---	---	---	---	---	PICST_40070	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29300	---	---	PGUG_05677	---	---	
---	---	---	---	---	---	---	---	PICST_3255	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_53027	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_40173	CANTEDRAFT_124781	---	PGUG_01215	---	---	
---	---	---	---	---	---	---	---	PICST_66748	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_75853	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29331	---	---	---	---	---	
---	---	---	---	---	---	---	---	PICST_29351	---	---	---	---	---
---	---	---	---	---	---	---	---	PICST_29369	---	---	---	---	---
orf19.2337	CAWG_00353	CD36_10130	CTRG_04068	CPAR2_210610	CORT0A09940	LELG_00718	DEHA2G14608g	PICST_81292	CANTEDRAFT_98074	SPAPADRAFT_142475	PGUG_04413	---	---
---	---	---	---	---	---	---	---	PICST_66766	---	---	---	---	---
